cod_ibge,distritos,renda,quota,escolaridade,idade,mortalidade,txcresc,causasext,favel,denspop
1,Água Rasa,1961,34.61999893,7.599999905,32,13.85999966,-1.840000033,52.97999954,0.0,125.6100006
12,Alto de Pinheiros,4180,75.95999908,8.399999619,33,8.680000305,-2.519999981,38.56999969,0.689999998,57.56000137
23,Anhanguera,1093,4.5,5.800000191,23,15.35999966,18.12000084,22.68000031,0.0,8.569999695
34,Aricanduva,1311,21.02000046,6.800000191,27,18.43000031,-1.070000052,76.22000122,5.380000114,138.5399933
45,Artur Alvim,1248,15.90999985,7.0,27,19.72999954,-1.399999976,67.25,4.110000134,167.3999939
56,Barra Funda,2359,34.31000137,8.0,31,8.619999886,-2.140000105,37.90000153,4.849999905,25.60000038
67,Bela Vista,2400,53.65000153,8.399999619,32,12.40999985,-2.00999999,59.86000061,0.0,249.6000061
78,Belém,1813,31.98999977,7.699999809,32,11.27000046,-3.039999962,78.94000244,2.680000067,70.97000122
89,Bom Retiro,1710,37.54999924,7.699999809,30,22.95000076,-5.119999886,75.83999634,1.419999957,69.47000122
2,Brás,1942,28.96999931,7.0,30,13.64000034,-4.480000019,120.6699982,0.0,76.19000244
3,Brasilândia,975,8.220000267,5.800000191,22,22.0,3.140000105,125.0199966,16.60000038,112.0599976
4,Butantã,2311,50.31999969,8.399999619,31,18.12999916,-1.600000024,44.72999954,0.25999999,42.81999969
5,Cachoeirinha,1347,12.34000015,6.199999809,23,15.71000004,2.279999971,105.5999985,17.42000008,105.9199982
6,Cambuci,1958,37.38999939,7.800000191,32,7.420000076,-2.839999914,40.56999969,0.0,82.27999878
7,Campo Belo,3850,66.65000153,8.600000381,31,16.62999916,-3.109999895,68.08000183,6.860000134,75.62999725
8,Campo Grande,2592,32.90999985,8.199999809,29,19.5,0.670000017,76.90000153,2.180000067,64.76999664
9,Campo Limpo,1218,15.15999985,6.400000095,24,17.87999916,0.330000013,71.75,13.64999962,126.6399994
10,Cangaíba,1147,17.25,6.800000191,26,11.18000031,1.909999967,61.13999939,6.380000114,79.04000092
11,Capão Redondo,1246,10.28999996,6.099999905,23,17.63999939,0.699999988,102.5,18.64999962,147.3000031
13,Carrão,1923,32.58000183,7.400000095,31,12.34000015,-1.879999995,61.84999847,0.0,105.9000015
14,Casa Verde,1847,29.36000061,7.400000095,29,12.68999958,-1.600000024,67.66999817,0.0,125.2600021
15,Cidade Ademar,1396,16.20000076,6.300000191,24,19.48999977,0.239999995,82.12000275,16.21999931,194.6600037
16,Cidade Dutra,1371,15.11999989,6.5,24,21.85000038,0.870000005,79.36000061,20.44000053,60.15999985
17,Cidade Lider,1151,17.21999931,6.400000095,24,16.42000008,0.189999998,100.5800018,3.549999952,96.38999939
18,Cidade Tiradentes,895,1.059999943,6.0,21,24.45999908,11.06000042,104.9700012,0.620000005,108.4400024
19,Consolação,3117,84.69000244,8.800000191,35,16.42000008,-2.529999971,30.88999939,0.0,158.3500061
20,Cursino,2194,32.79999924,7.599999905,29,14.85000038,-1.179999948,72.02999878,1.870000005,81.31999969
21,Ermelino Matarazzo,1058,11.82999992,6.300000191,24,13.93999958,1.929999948,72.59999847,4.760000229,120.9199982
22,Freguesia do Ó,1538,24.04000092,7.099999905,27,16.29999924,-1.389999986,63.02000046,2.799999952,135.5599976
24,Grajaú,936,4.96999979,5.5,21,20.59000015,7.070000172,97.16000366,19.5,29.63999939
25,Guaianases,820,9.539999962,5.900000095,21,18.07999992,1.809999943,120.9199982,0.189999998,103.4899979
26,Moema,4504,83.69000244,8.600000381,34,8.539999962,-0.829999983,35.75,0.0,82.41000366
27,Iguatemi,866,4.840000153,5.400000095,21,19.61000061,8.470000267,99.44999695,3.25999999,45.83000183
28,Ipiranga,1892,33.65999985,7.599999905,31,17.59000015,-1.529999971,74.93000031,6.130000114,89.51999664
29,Itaim Bibi,3278,83.30000305,8.800000191,34,10.28999996,-3.799999952,76.54000092,0.379999995,89.45999908
30,Itaim Paulista,814,9.659999847,5.699999809,21,18.62000084,2.059999943,87.34999847,4.289999962,150.6399994
31,Itaquera,1182,12.42000008,6.400000095,24,16.98999977,1.029999971,82.94000244,3.230000019,126.4000015
32,Jabaquara,1905,24.46999931,7.099999905,27,12.61999989,-0.180000007,77.95999908,10.17000008,150.6799927
33,Jaçanã,1621,16.76000023,6.800000191,26,15.65999985,0.639999986,63.99000168,2.640000105,114.9300003
35,Jaguara,159,28.84000015,7.099999905,29,16.76000023,-2.890000105,50.99000168,1.970000029,55.93000031
36,Jaguaré,2124,32.86999893,7.0,26,10.81999969,-4.039999962,83.75,26.72999954,54.70000076
37,Jaraguá,1079,9.880000114,6.199999809,23,19.27000046,4.179999828,84.48999786,6.210000038,41.43999863
38,Jardim Ângela,912,6.21999979,5.400000095,21,20.90999985,4.420000076,117.3499985,15.75,59.20000076
39,Jardim Helena,893,9.220000267,5.599999905,21,17.12999916,3.059999943,75.66999817,12.69999981,151.2100067
40,Jardim Paulista,4318,104.7300034,8.699999809,36,6.460000038,-2.849999905,22.75,0.0,146.3300018
41,Jardim São Luís,1224,11.88000011,6.199999809,23,19.97999954,1.789999962,105.2600021,21.01000023,90.38999939
42,José Bonifácio,1075,12.26000023,6.800000191,23,17.71999931,0.039999999,72.11000061,0.0,73.70999908
43,Lapa,2462,48.11999893,8.399999619,35,11.34000015,-2.190000057,43.56000137,0.0,62.95999908
44,Liberdade,2106,49.16999817,8.300000191,31,10.39999962,-3.339999914,52.29000092,0.0,173.9199982
46,Limão,2266,21.59000015,7.099999905,27,13.31999969,-1.460000038,89.91999817,5.239999771,133.3200073
47,Mandaqui,1978,25.20000076,7.599999905,28,14.84000015,-0.400000006,51.45999908,0.419999987,77.83999634
48,Marsilac,988,0.610000014,4.800000191,20,44.25,4.360000134,65.80999756,0.0,0.370000005
49,Mooca,2466,50.06000137,8.199999809,34,16.15999985,-2.380000114,71.37000275,0.0,82.91000366
50,Morumbi,5146,102.0100021,7.400000095,28,12.35000038,-0.75,79.40000153,14.30000019,33.81999969
51,Parelheiros,901,4.510000229,5.199999809,21,14.39000034,8.220000267,115.2200012,6.659999847,5.380000114
52,Pari,1635,40.84999847,7.599999905,32,21.94000053,-6.239999771,99.95999908,0.0,53.22000122
53,Parque do Carmo,1271,14.18999958,6.099999905,23,16.02000046,0.50999999,68.91000366,4.880000114,36.45999908
54,Pedreira,1151,8.489999771,5.800000191,22,15.47000027,4.920000076,59.59999847,26.53000069,58.47000122
55,Penha,1896,27.12000084,7.400000095,30,16.12000084,-0.930000007,62.70999908,1.480000019,112.3499985
57,Perdizes,3456,61.27000046,8.699999809,34,9.229999542,-0.949999988,29.54999924,0.0,170.0800018
58,Perus,1006,9.779999733,5.800000191,23,21.51000023,4.460000038,80.98999786,4.340000153,24.10000038
59,Pinheiros,3711,80.58999634,8.300000191,35,12.77999973,-2.430000067,44.20999908,0.0,86.93000031
60,Pirituba,1417,21.27000046,7.0,26,17.22999954,-0.100000001,67.44999695,4.829999924,88.62999725
61,Ponte Rasa,1264,20.29000092,6.900000095,26,12.28999996,-0.829999983,62.09000015,3.279999971,153.8899994
62,Raposo Tavares,1296,12.73999977,6.400000095,23,14.68000031,1.019999981,56.34999847,10.22999954,69.20999908
63,República,2614,49.34000015,8.600000381,32,19.37999916,-2.99000001,71.75,0.0,215.9400024
64,Rio Pequeno,184,24.13999939,6.800000191,25,18.70000076,-0.660000026,68.41000366,19.67000008,102.5
65,Sarcomã,1608,19.10000038,6.800000191,26,13.02000046,0.529999971,82.18000031,20.34000015,152.7200012
66,Santa Cecília,2775,57.13000107,8.199999809,33,17.54000092,-2.450000048,64.30000305,0.0,194.4299927
68,Santana,2329,42.20000076,8.300000191,32,7.420000076,-0.839999974,47.06999969,0.889999986,104.7699966
69,Santo Amaro,3898,78.90000153,9.199999809,34,7.449999809,-3.569999933,62.43000031,0.0,40.38000107
70,São Lucas,1423,22.37999916,7.0,28,19.45999908,-0.99000001,52.29000092,1.350000024,146.1000061
71,São Mateus,1229,12.06000042,6.5,24,16.97999954,1.210000038,77.58000183,12.43999958,123.1600037
72,São Miguel,1023,14.92000008,6.400000095,24,22.35000038,0.129999995,81.80999756,5.610000134,138.2100067
73,São Rafael,922,9.840000153,6.0,23,19.42000008,2.470000029,90.58000183,6.78000021,76.91999817
74,Sapopemba,1087,13.68999958,6.099999905,24,18.78000069,-0.209999993,81.16999817,9.31000042,188.8300018
75,Saúde,2782,49.27000046,8.300000191,33,10.93999958,-1.429999948,46.45999908,1.120000005,132.3500061
76,Sé,1366,36.08000183,7.099999905,29,19.61000061,-4.800000191,127.3700027,0.0,101.2099991
77,Socorro,1987,36.29999924,8.0,30,6.860000134,-2.339999914,69.41999817,1.309999943,29.75
79,Tatuapé,2013,47.63999939,8.199999809,34,18.20000076,-1.090000033,43.68000031,0.0,94.5
80,Tremembé,1746,16.88999939,6.599999905,25,17.29999924,2.75999999,56.43999863,2.190000057,25.45000076
81,Tucuruvi,2381,33.27999878,8.0,31,13.15999985,-1.840000033,36.81999969,0.0,113.2900009
82,Vila Andrade,3357,52.02999878,6.5,23,15.89999962,4.929999828,104.5,45.68999863,52.56999969
83,Vila Curuçá,839,10.02999973,5.800000191,22,21.30999947,2.230000019,85.80999756,6.699999809,143.1000061
84,Vila Formosa,2025,29.62000084,7.099999905,29,16.02000046,-1.370000005,48.54999924,0.879999995,123.5299988
85,Vila Guilherme,2202,30.53000069,7.400000095,30,14.05000019,-2.779999971,50.09999847,0.0,77.58000183
86,Vila Jacuí,1118,11.93000031,6.099999905,23,19.5,1.74000001,86.12000275,10.52000046,143.3200073
87,Vila Leopoldina,2908,44.38999939,7.699999809,30,18.26000023,-0.25,57.06000137,11.23999977,36.79000092
88,Vila Maria,1418,18.43000031,6.599999905,26,13.86999989,-1.590000033,63.16999817,7.599999905,95.94000244
90,Vila Mariana,3312,63.54000092,8.600000381,34,9.43999958,-1.330000043,33.18000031,0.870000005,144.4100037
91,Vila Matilde,1530,26.0,7.400000095,29,19.12999916,-1.830000043,58.72999954,0.0,111.6999969
92,Vila Medeiros,1405,19.76000023,6.800000191,27,15.43000031,-1.409999967,77.98000336,2.49000001,188.9299927
93,Vila Prudente,1755,32.08000183,7.199999809,30,14.35999966,-2.549999952,66.51000214,7.429999828,101.4400024
94,Vila Sônia,2970,41.40999985,7.400000095,27,16.76000023,-0.899999976,74.68000031,14.93000031,80.12000275
95,São Domingos,2047,23.51000023,6.800000191,26,14.30000019,0.709999979,62.34999847,8.550000191,72.91999817
96,Lajeado,775,8.489999771,5.400000095,21,18.64999962,2.829999924,103.3199997,3.839999914,141.0099945
