chlorides,density,sulphates
0.045,1.001,0.45
0.049,0.994,0.49
0.05,0.9951,0.44
0.058,0.9956,0.4
0.058,0.9956,0.4
0.05,0.9951,0.44
0.045,0.9949,0.47
0.045,1.001,0.45
0.049,0.994,0.49
0.044,0.9938,0.45
0.033,0.9908,0.56
0.035,0.9947,0.53
0.04,0.992,0.63
0.044,0.9912,0.52
0.04,1.0002,0.67
0.032,0.9914,0.55
0.046,0.9928,0.36
0.029,0.9892,0.39
0.033,0.9917,0.53
0.044,0.9955,0.5
0.029,0.9892,0.39
0.038,0.9912,0.35
0.049,0.993,0.48
0.074,0.9937,0.51
0.052,0.9951,0.47
0.046,0.9955,0.5
0.052,0.993,0.44
0.051,0.9961,0.53
0.047,0.9914,0.49
0.033,0.9906,0.71
0.044,0.9974,0.53
0.042,0.9934,0.4
0.05,0.992,0.44
0.045,0.9939,0.51
0.044,0.9962,0.37
0.08,0.9905,0.42
0.051,0.9934,0.35
0.053,0.9906,0.28
0.057,0.9999,0.36
0.057,0.9999,0.36
0.172,0.9937,0.36
0.173,0.9937,0.34
0.069,0.9954,0.46
0.057,0.9934,0.56
0.06,0.9934,0.56
0.058,0.9931,0.53
0.063,0.994,0.52
0.066,0.9939,0.52
0.069,0.9954,0.46
0.067,0.995,0.48
0.062,0.9917,0.44
0.068,0.9914,0.58
0.057,0.991,0.46
0.045,0.9911,0.35
0.147,0.993,0.38
0.039,0.9908,0.52
0.043,0.9962,0.5
0.048,0.9972,0.36
0.044,0.9931,0.38
0.038,0.9926,0.34
0.092,0.9951,0.46
0.048,0.9972,0.36
0.035,0.991,0.34
0.044,0.9931,0.38
0.038,0.9927,0.46
0.064,0.9934,0.54
0.04,0.9903,0.49
0.041,0.992,0.42
0.046,0.9926,0.64
0.05,0.9962,0.35
0.056,0.9956,0.51
0.061,0.9958,0.6
0.063,0.9964,0.71
0.054,0.9941,0.49
0.046,0.9926,0.64
0.05,0.9962,0.35
0.043,0.9898,0.37
0.042,0.9912,0.65
0.064,0.9961,0.56
0.06,0.9949,0.37
0.053,0.9929,0.77
0.05,0.9985,0.6
0.063,0.9946,0.42
0.047,0.9966,0.46
0.045,0.9974,0.45
0.044,0.9975,0.46
0.044,0.9974,0.44
0.05,0.9972,0.48
0.045,0.9974,0.45
0.044,0.9975,0.46
0.044,0.9974,0.44
0.049,0.9957,0.47
0.035,0.99,0.4
0.034,0.9899,0.41
0.04,0.9916,0.44
0.044,0.9969,0.42
0.046,0.9979,0.5
0.034,0.9913,0.36
0.038,0.9956,0.3
0.046,0.9979,0.5
0.06,0.9975,0.44
0.054,0.9962,0.41
0.05,0.997,0.39
0.059,1,0.46
0.06,0.9975,0.44
0.051,0.9974,0.35
0.054,0.9962,0.41
0.04,0.999,0.59
0.04,0.999,0.59
0.051,0.9927,0.6
0.082,0.9959,0.39
0.052,1,0.52
0.056,0.9982,0.47
0.049,0.9968,0.51
0.049,0.9968,0.51
0.065,0.994,0.4
0.041,0.9914,0.44
0.035,0.9911,0.42
0.056,0.9982,0.47
0.06,0.9982,0.5
0.046,0.9934,0.51
0.054,0.9984,0.54
0.059,0.9952,0.34
0.058,0.9952,0.36
0.092,0.9928,0.36
0.026,0.9912,0.48
0.033,0.994,0.42
0.038,0.9958,0.54
0.044,0.9924,0.57
0.046,0.9924,0.57
0.02,0.994,0.37
0.038,0.9958,0.54
0.038,0.9979,0.57
0.035,0.9982,0.51
0.034,0.9961,0.52
0.036,0.9979,0.56
0.027,0.992,0.38
0.045,0.9975,0.44
0.035,0.9917,0.54
0.029,0.9923,0.52
0.045,0.9927,0.43
0.045,0.9975,0.44
0.039,0.992,0.54
0.036,0.9947,0.53
0.037,0.9921,0.54
0.04,0.9905,0.39
0.044,0.9918,0.37
0.058,0.9951,0.36
0.034,0.9917,0.58
0.054,0.994,0.38
0.043,0.9934,0.32
0.055,0.9968,0.43
0.054,0.994,0.38
0.048,0.9919,0.45
0.049,0.9966,0.84
0.066,0.9979,0.42
0.066,0.9979,0.42
0.036,0.9898,0.42
0.036,0.9894,0.33
0.036,0.9894,0.33
0.036,0.9898,0.42
0.055,0.998,0.4
0.049,0.9932,0.39
0.066,0.9979,0.42
0.05,0.997,0.5
0.051,0.9972,0.49
0.048,0.9974,0.59
0.034,0.9896,0.44
0.055,0.9968,0.54
0.034,0.9958,0.29
0.066,0.9906,0.54
0.045,0.9917,0.39
0.037,0.9902,0.39
0.038,0.9918,0.33
0.051,0.999,0.64
0.04,0.9927,0.27
0.044,0.991,0.41
0.054,0.9972,0.39
0.06,0.9931,0.35
0.049,0.995,0.68
0.048,0.9951,0.66
0.053,0.9936,0.43
0.048,1.001,0.5
0.05,0.9979,0.58
0.043,0.997,0.63
0.043,0.9972,0.63
0.04,0.9954,0.61
0.038,0.9924,0.5
0.034,0.9906,0.57
0.047,0.9962,0.54
0.052,0.9962,0.55
0.048,1.001,0.5
0.045,0.9928,0.37
0.055,0.9942,0.42
0.2,0.9942,0.41
0.197,0.9942,0.39
0.197,0.9942,0.38
0.052,0.9961,0.47
0.05,0.998,0.49
0.052,0.9961,0.47
0.049,0.9984,0.5
0.05,0.998,0.49
0.05,0.9973,0.5
0.034,0.9949,0.53
0.053,0.9924,0.5
0.042,0.9972,0.43
0.045,0.9958,0.34
0.049,0.9968,0.51
0.04,0.9938,0.74
0.048,0.993,0.77
0.032,0.994,0.34
0.038,0.9918,0.59
0.045,0.9958,0.34
0.051,0.9944,0.37
0.03,0.9912,0.44
0.044,0.9961,0.38
0.036,0.9939,0.33
0.044,0.9961,0.38
0.044,0.9989,0.44
0.036,0.9938,0.32
0.036,0.9939,0.33
0.07,0.9971,0.55
0.03,0.9912,0.44
0.043,0.9936,0.39
0.046,0.9929,0.54
0.046,0.9998,0.39
0.048,0.9938,0.5
0.041,0.9969,0.52
0.048,0.9938,0.5
0.046,0.9998,0.39
0.062,0.9972,0.46
0.041,0.9976,0.51
0.039,0.9976,0.51
0.058,0.9979,0.44
0.058,0.9979,0.44
0.058,0.9979,0.44
0.058,0.9979,0.44
0.044,0.9972,0.5
0.037,0.9918,0.41
0.039,0.9982,0.64
0.05,0.9985,0.46
0.031,0.9944,0.5
0.026,0.9903,0.38
0.047,0.9934,0.58
0.043,0.9975,0.46
0.038,0.9923,0.79
0.03,0.99,0.61
0.031,0.9905,0.36
0.03,0.9905,0.37
0.037,0.996,0.45
0.053,0.9964,0.7
0.074,0.998,0.5
0.043,0.9975,0.46
0.029,0.9913,0.43
0.054,0.9932,0.52
0.04,0.9935,0.58
0.035,0.9927,0.41
0.035,0.9927,0.41
0.032,0.9912,0.5
0.037,0.9904,0.34
0.048,0.9939,0.42
0.043,0.9996,0.47
0.036,0.9944,0.33
0.045,0.9977,0.59
0.038,0.9912,0.48
0.043,0.9996,0.47
0.053,0.9965,0.51
0.043,0.9944,0.57
0.044,0.9945,0.57
0.045,0.9944,0.57
0.053,0.9965,0.51
0.044,0.9944,0.58
0.051,0.9972,0.38
0.057,0.9949,0.38
0.046,0.9966,0.61
0.046,0.9954,0.57
0.044,0.9954,0.58
0.042,0.9915,0.5
0.044,0.9919,0.47
0.036,0.9916,0.68
0.034,0.99,0.38
0.039,0.9909,0.6
0.047,0.9938,0.65
0.054,0.9982,0.49
0.055,0.9988,0.49
0.056,0.9961,0.47
0.053,0.9978,0.51
0.058,0.9979,0.48
0.058,0.9979,0.48
0.058,0.9979,0.48
0.058,0.9979,0.48
0.041,0.9945,0.46
0.066,1,0.44
0.041,0.9957,0.64
0.066,0.9968,0.38
0.046,0.9934,0.54
0.045,0.9976,0.57
0.041,0.9932,0.6
0.046,0.997,0.45
0.043,0.9923,0.45
0.063,0.9914,0.67
0.05,0.992,0.38
0.063,0.9914,0.67
0.055,0.9914,0.43
0.057,0.9949,0.41
0.057,0.9949,0.41
0.058,0.995,0.41
0.058,0.995,0.41
0.036,0.9927,0.42
0.037,0.9928,0.41
0.035,0.9917,0.71
0.032,0.9918,0.51
0.042,0.9954,0.45
0.038,0.9941,0.63
0.04,0.9941,0.62
0.132,0.9934,0.44
0.031,0.9927,0.38
0.031,0.9938,0.37
0.03,0.9933,0.43
0.04,0.9934,0.59
0.041,0.9927,0.61
0.031,0.9938,0.37
0.031,0.9927,0.38
0.031,0.9946,0.36
0.046,0.993,0.55
0.057,0.9946,0.59
0.04,0.9976,0.6
0.039,0.9944,0.65
0.042,0.9978,0.5
0.036,0.992,0.51
0.03,0.9912,0.6
0.032,0.9927,0.39
0.033,0.9906,0.4
0.038,0.9954,0.44
0.031,0.9923,0.38
0.033,0.9906,0.4
0.036,0.991,0.42
0.045,0.9972,0.42
0.047,0.9945,0.53
0.049,0.9934,0.85
0.045,0.9964,0.55
0.047,0.9948,0.54
0.044,0.9962,0.47
0.053,0.9931,0.76
0.052,0.993,0.75
0.05,0.9942,0.4
0.031,0.9906,0.51
0.056,0.9995,0.44
0.052,0.998,0.5
0.054,0.997,0.47
0.044,0.9914,0.74
0.038,0.992,0.3
0.071,0.9924,0.51
0.038,0.992,0.3
0.047,0.9937,0.57
0.063,0.9978,0.38
0.063,0.9978,0.38
0.05,0.9927,0.78
0.05,0.994,0.42
0.04,0.9935,0.59
0.047,0.9968,0.5
0.055,0.9941,0.43
0.05,0.9942,0.39
0.063,0.9978,0.38
0.037,0.9923,0.42
0.028,0.9912,0.71
0.089,0.9923,0.62
0.053,0.9927,0.45
0.049,0.9931,0.64
0.044,0.9941,0.29
0.053,0.9927,0.45
0.049,0.9931,0.64
0.048,0.9934,0.56
0.048,0.9936,0.51
0.027,0.9893,0.38
0.027,0.9893,0.38
0.037,0.9919,0.51
0.045,0.9924,0.46
0.049,0.9927,0.64
0.037,0.9919,0.51
0.045,0.9924,0.46
0.046,0.9975,0.52
0.051,0.9969,0.53
0.048,0.9936,0.51
0.027,0.991,0.39
0.027,0.9893,0.38
0.026,0.9906,0.39
0.04,0.9941,0.66
0.047,0.995,0.46
0.032,0.9983,0.61
0.032,0.9983,0.61
0.031,0.9916,0.46
0.031,0.9957,0.47
0.021,0.99,0.56
0.044,0.9976,0.44
0.04,0.992,0.41
0.031,0.9917,0.39
0.037,0.9917,0.5
0.048,0.9993,0.44
0.032,0.9908,0.41
0.037,0.9917,0.5
0.044,0.9976,0.44
0.069,0.9934,0.52
0.046,1,0.56
0.035,0.9918,0.66
0.04,0.992,0.41
0.031,0.9896,0.39
0.049,0.9932,0.51
0.044,0.992,0.53
0.031,0.9917,0.39
0.038,0.9999,0.47
0.04,0.998,0.79
0.036,0.9918,0.5
0.036,0.9918,0.5
0.038,0.9999,0.47
0.04,0.998,0.79
0.041,0.9927,0.33
0.047,0.9959,0.47
0.041,0.9927,0.33
0.05,0.9929,0.56
0.03,0.9898,0.37
0.045,0.9954,0.54
0.045,0.9954,0.54
0.045,0.9954,0.54
0.047,0.9954,0.52
0.045,0.9954,0.54
0.045,0.9954,0.54
0.053,0.9974,0.45
0.051,0.9936,0.46
0.056,0.9978,0.49
0.053,0.9974,0.45
0.048,0.9927,0.38
0.045,0.9934,0.61
0.108,0.9938,0.57
0.028,0.9922,0.47
0.027,0.992,0.49
0.042,0.9935,0.6
0.035,0.9906,0.64
0.045,0.9934,0.61
0.06,0.9934,0.54
0.028,0.9913,0.59
0.033,0.9938,0.69
0.026,0.9898,0.65
0.048,0.9975,0.54
0.031,0.9975,0.33
0.038,0.9937,0.4
0.054,0.9914,0.42
0.048,0.9982,0.53
0.048,0.9982,0.53
0.052,0.9929,0.56
0.07,0.9971,0.54
0.038,0.9921,0.44
0.042,0.9931,0.51
0.046,0.9924,0.51
0.052,0.9929,0.56
0.048,0.9982,0.53
0.022,0.9892,0.4
0.056,0.9956,0.52
0.053,0.9924,0.72
0.059,0.9971,0.5
0.056,0.9956,0.52
0.047,0.9982,0.45
0.047,0.9973,0.38
0.044,0.9932,0.39
0.047,0.9976,0.5
0.081,0.9962,0.46
0.039,0.9956,0.43
0.044,0.9932,0.39
0.047,0.9976,0.5
0.047,0.9992,0.52
0.039,0.9983,0.73
0.036,0.9937,0.76
0.023,0.99,0.45
0.034,0.9944,0.48
0.03,0.9938,0.36
0.029,0.9965,0.61
0.028,0.9893,0.39
0.037,0.9927,0.55
0.073,0.994,0.58
0.041,0.9928,0.56
0.043,0.9964,0.6
0.047,0.9917,0.51
0.044,0.9972,0.42
0.043,0.9964,0.6
0.346,0.9954,0.58
0.028,0.993,0.54
0.025,0.9928,0.51
0.035,0.9916,0.42
0.045,0.9936,0.68
0.047,0.9962,0.45
0.035,0.9899,0.46
0.032,0.9898,0.4
0.039,0.996,0.46
0.022,0.9907,0.64
0.04,0.994,0.58
0.025,0.9913,0.48
0.041,0.9976,0.49
0.026,0.9904,0.54
0.04,0.992,0.66
0.041,0.9976,0.49
0.045,0.999,0.49
0.038,0.9975,0.48
0.038,0.9937,0.62
0.037,0.9937,0.62
0.053,0.998,0.53
0.053,0.998,0.53
0.09,0.9944,0.52
0.048,0.9938,0.54
0.039,0.9907,0.44
0.048,0.9938,0.54
0.041,0.9921,0.42
0.042,0.9908,0.41
0.04,0.9931,0.59
0.025,0.9915,0.33
0.036,0.9952,0.39
0.051,0.9926,0.47
0.055,0.9934,0.45
0.045,0.992,0.6
0.05,0.9918,0.64
0.048,0.9942,0.4
0.039,0.9942,0.74
0.039,0.9942,0.74
0.038,0.9901,0.39
0.033,0.9898,0.38
0.038,0.9902,0.34
0.114,0.9934,0.45
0.04,0.9906,0.53
0.034,0.9898,0.44
0.031,0.9896,0.35
0.03,0.9922,0.45
0.048,0.9947,0.79
0.186,0.9945,0.4
0.067,0.9976,0.48
0.067,0.9976,0.48
0.067,0.9976,0.48
0.047,0.9987,0.51
0.047,0.9987,0.51
0.067,0.9976,0.48
0.045,0.992,0.54
0.053,0.9955,0.67
0.04,0.9953,0.55
0.05,0.9976,0.42
0.045,0.992,0.68
0.036,0.9952,0.62
0.047,0.9983,0.51
0.04,0.9933,0.58
0.039,0.9958,0.64
0.052,0.9922,0.49
0.044,0.9928,0.5
0.05,0.9976,0.42
0.05,0.9976,0.52
0.026,0.9916,0.37
0.028,0.9901,0.38
0.05,0.9976,0.52
0.028,0.9901,0.38
0.026,0.9916,0.37
0.046,0.9982,0.65
0.049,0.993,0.5
0.044,0.9969,0.39
0.047,0.991,0.76
0.049,0.9953,0.74
0.057,0.9924,0.48
0.063,0.9969,0.63
0.046,0.9928,0.77
0.066,0.9945,0.42
0.059,0.9967,0.47
0.051,0.9944,0.39
0.048,0.9928,0.61
0.05,0.9929,0.6
0.04,0.9948,0.69
0.051,0.9976,0.46
0.038,0.9912,0.41
0.047,0.9987,0.56
0.032,0.99,0.39
0.035,0.991,0.44
0.047,0.9933,0.5
0.047,0.9933,0.5
0.033,0.9899,0.38
0.038,0.9912,0.41
0.034,0.9912,0.38
0.051,0.9976,0.46
0.042,0.994,0.39
0.056,0.9947,0.35
0.042,0.9954,0.36
0.046,0.993,0.51
0.042,0.9954,0.36
0.049,0.9963,0.48
0.034,0.992,0.5
0.036,0.9926,0.49
0.04,0.995,0.58
0.059,0.9983,0.44
0.037,0.992,0.49
0.043,0.9968,0.52
0.03,0.9905,0.28
0.03,0.9904,0.29
0.051,0.9926,0.5
0.043,0.9968,0.52
0.034,0.9928,0.44
0.036,0.9949,0.48
0.036,0.9909,0.68
0.18,0.9937,0.54
0.045,0.9914,0.38
0.03,0.9905,0.28
0.03,0.9904,0.29
0.052,0.9924,0.61
0.052,0.9924,0.61
0.049,0.9965,0.38
0.049,0.9965,0.38
0.044,0.9993,0.48
0.061,0.9965,0.69
0.037,0.9908,0.65
0.032,0.992,0.39
0.047,0.9978,0.38
0.045,0.9978,0.36
0.045,0.9978,0.36
0.047,0.9978,0.38
0.037,0.9912,0.65
0.051,0.9928,0.5
0.051,0.9928,0.5
0.057,0.993,0.5
0.084,0.9993,0.58
0.083,0.9965,0.5
0.043,0.9937,0.6
0.045,0.9913,0.51
0.066,0.9934,0.55
0.039,0.9952,0.46
0.096,0.9983,0.45
0.048,0.9957,0.62
0.048,0.9957,0.62
0.036,0.9916,0.6
0.05,0.9999,0.42
0.05,0.9999,0.42
0.04,0.9936,0.64
0.045,0.9972,0.42
0.033,0.9933,0.49
0.027,0.9934,0.51
0.037,0.9931,0.46
0.053,0.9976,0.62
0.046,0.9937,0.71
0.046,0.9937,0.71
0.047,0.991,0.5
0.054,0.9979,0.43
0.046,0.9971,0.5
0.05,0.9969,0.45
0.051,0.9968,0.45
0.058,0.9961,0.41
0.061,0.993,0.57
0.05,0.9973,0.37
0.041,0.9944,0.72
0.067,0.9986,0.53
0.067,0.9986,0.53
0.067,0.9986,0.53
0.067,0.9986,0.53
0.053,0.9972,0.45
0.048,0.9917,0.75
0.03,0.992,0.42
0.028,0.9932,0.4
0.05,0.9936,0.44
0.052,0.9915,0.4
0.038,0.9922,0.47
0.049,0.9934,0.38
0.032,0.9952,0.5
0.094,0.9972,0.47
0.049,0.9934,0.38
0.052,0.9958,0.52
0.056,0.9944,0.48
0.036,0.9908,0.72
0.052,0.9958,0.52
0.047,0.9925,0.46
0.047,0.9966,0.57
0.058,0.9972,0.55
0.038,0.9912,0.57
0.039,0.995,0.5
0.038,0.9928,0.63
0.047,0.9968,0.6
0.056,0.9955,0.4
0.057,0.9981,0.41
0.033,0.991,0.42
0.033,0.991,0.42
0.033,0.991,0.42
0.043,0.992,0.39
0.058,0.9931,0.47
0.052,0.997,0.44
0.24,0.9948,0.48
0.052,0.9923,0.42
0.051,0.9976,0.46
0.043,0.9938,0.53
0.29,0.9984,0.67
0.044,0.9972,0.5
0.039,0.9922,0.6
0.043,0.9935,0.6
0.037,0.9944,0.62
0.036,0.9942,0.62
0.036,0.9944,0.63
0.041,0.9997,0.66
0.047,0.9977,0.46
0.022,0.9912,0.57
0.039,0.9982,0.6
0.039,0.9982,0.6
0.042,0.9983,0.59
0.042,0.998,0.64
0.03,0.9894,0.78
0.042,0.9927,0.45
0.038,0.9917,0.42
0.037,0.9904,0.5
0.032,0.993,0.34
0.041,0.9941,0.6
0.046,0.9943,0.62
0.05,0.99855,0.48
0.044,0.99345,0.46
0.046,0.998,0.45
0.035,0.9916,0.5
0.035,0.9916,0.5
0.04,0.99475,0.43
0.038,0.99325,0.5
0.038,0.9933,0.71
0.048,0.9969,0.61
0.042,1.0002,0.5
0.038,0.9933,0.71
0.042,0.9937,0.5
0.053,0.99685,0.45
0.046,0.99455,0.52
0.032,0.9917,0.47
0.02,0.99035,0.44
0.028,0.9914,0.39
0.041,0.99225,0.46
0.038,0.99155,0.66
0.057,0.9954,0.59
0.043,0.99455,0.47
0.185,0.9924,0.62
0.042,0.99695,0.56
0.044,0.99655,0.47
0.022,0.9934,0.33
0.052,0.998,0.5
0.04,0.9971,0.61
0.038,0.9948,0.49
0.052,0.998,0.5
0.04,0.9971,0.61
0.021,0.99215,0.39
0.038,0.9948,0.49
0.022,0.9915,0.37
0.031,0.99115,0.55
0.03,0.9932,0.61
0.034,0.9977,0.43
0.041,0.99535,0.43
0.022,0.99165,0.55
0.033,0.9953,0.56
0.024,0.9928,0.32
0.049,0.9958,0.54
0.025,0.9928,0.32
0.024,0.9928,0.32
0.036,0.9964,0.55
0.038,0.9987,0.5
0.033,0.9953,0.56
0.11,0.9932,0.5
0.032,0.9907,0.48
0.056,0.99755,0.43
0.051,0.99935,0.85
0.051,0.9932,0.96
0.047,0.9932,0.97
0.049,0.9958,0.54
0.05,0.99585,0.54
0.057,1.00055,0.56
0.039,0.9985,0.57
0.042,0.99505,0.69
0.05,0.992,0.46
0.078,0.9988,0.44
0.028,0.99175,0.6
0.043,0.9962,0.4
0.043,0.9962,0.4
0.045,0.9942,0.46
0.13,0.9927,0.39
0.135,0.9927,0.39
0.039,0.99985,0.45
0.035,0.997,0.46
0.115,0.9918,0.58
0.039,0.99215,0.56
0.052,0.99865,0.53
0.053,0.9992,0.82
0.053,1.0006,0.75
0.042,0.99135,0.38
0.056,0.99715,0.61
0.053,0.9992,0.82
0.053,1.0006,0.75
0.052,0.99865,0.53
0.039,0.99815,0.3
0.04,0.99815,0.29
0.04,0.99815,0.29
0.037,0.9949,0.45
0.039,0.99815,0.3
0.04,0.99815,0.29
0.033,0.99225,0.69
0.046,0.99445,0.56
0.033,0.99225,0.69
0.049,0.99335,0.52
0.05,0.99625,0.43
0.054,0.9971,0.58
0.046,0.9983,0.77
0.041,0.99445,0.4
0.036,0.99085,0.58
0.036,0.9977,0.41
0.048,0.9953,0.47
0.044,0.99775,0.53
0.039,0.99795,0.44
0.032,0.99505,0.46
0.036,0.9977,0.41
0.046,0.9975,0.41
0.046,0.99745,0.41
0.046,0.9976,0.38
0.046,0.99775,0.43
0.048,0.9953,0.47
0.063,0.9932,0.56
0.055,0.99405,0.5
0.045,1,0.46
0.072,0.99785,0.59
0.04,0.9939,0.46
0.036,0.9939,0.52
0.034,0.99675,0.51
0.04,0.9939,0.46
0.034,0.99675,0.51
0.021,0.98965,0.61
0.071,0.9971,0.58
0.053,0.99445,0.43
0.047,0.9945,0.43
0.036,0.9939,0.52
0.042,0.9958,0.56
0.046,0.9956,0.59
0.031,0.99055,0.48
0.044,0.9959,0.44
0.043,0.9925,0.42
0.06,0.9963,0.69
0.037,0.9935,0.62
0.044,0.99105,0.53
0.035,0.99045,0.44
0.06,0.9963,0.69
0.04,0.99155,0.45
0.034,0.99085,0.4
0.034,0.99085,0.4
0.034,0.99085,0.4
0.034,0.9924,0.39
0.036,0.9924,0.39
0.044,0.99975,0.47
0.044,0.99975,0.47
0.036,0.99315,0.54
0.034,0.9917,0.5
0.034,0.9917,0.5
0.035,0.99845,0.4
0.026,0.9921,0.39
0.044,0.99975,0.47
0.03,0.9909,0.47
0.036,0.99315,0.54
0.042,0.99855,0.54
0.036,0.9934,0.95
0.039,0.9978,0.49
0.036,0.9934,0.95
0.038,0.9949,0.77
0.042,0.99855,0.54
0.042,0.9986,0.52
0.038,0.99725,0.54
0.17,0.9946,0.47
0.03,0.99255,0.63
0.041,0.9996,0.75
0.028,0.9939,0.61
0.029,0.99,0.5
0.028,0.9937,0.61
0.021,0.9886,0.3
0.036,0.9934,0.95
0.042,1,0.76
0.04,0.9994,0.82
0.037,0.9926,0.7
0.08,0.9956,0.48
0.039,0.9978,0.49
0.03,0.9915,0.34
0.037,0.9939,0.28
0.029,0.9932,0.39
0.037,0.993,0.57
0.018,0.9898,0.36
0.119,0.9921,0.38
0.126,0.9932,0.37
0.037,0.9919,0.82
0.037,0.993,0.57
0.04,0.9953,0.48
0.022,0.9928,0.55
0.022,0.9928,0.55
0.035,0.9976,0.52
0.024,0.9906,0.67
0.04,0.9918,0.51
0.044,0.99185,0.68
0.04,0.9918,0.51
0.044,0.99185,0.68
0.046,0.994,0.63
0.031,0.9908,0.4
0.036,0.9928,0.48
0.037,0.9896,0.36
0.031,0.9908,0.4
0.043,0.9918,0.53
0.047,0.9952,0.53
0.044,0.9923,0.46
0.039,0.9915,0.49
0.047,0.9952,0.53
0.052,0.9947,0.56
0.046,0.9983,0.37
0.048,0.9975,0.4
0.047,0.995,0.39
0.056,0.9944,0.47
0.047,0.994,0.65
0.048,0.9944,0.61
0.036,0.9908,0.43
0.054,0.99795,0.47
0.049,0.9985,0.53
0.04,0.99425,0.63
0.042,0.99425,0.63
0.041,0.9943,0.63
0.038,0.9924,0.35
0.05,0.9946,0.37
0.038,0.9924,0.35
0.042,0.995,0.56
0.037,0.9919,0.33
0.031,0.99,0.39
0.04,0.9923,0.32
0.057,0.9956,0.44
0.036,0.9978,0.44
0.036,0.9978,0.44
0.044,0.9967,0.43
0.044,0.9934,0.49
0.047,0.9936,0.43
0.042,0.9932,0.38
0.057,0.9934,0.48
0.055,0.998,0.47
0.044,0.9978,0.51
0.017,0.9929,0.4
0.033,0.9974,0.38
0.046,0.99685,0.41
0.037,0.99495,0.41
0.039,0.99745,0.38
0.041,0.99505,0.4
0.048,0.992,0.41
0.044,0.9978,0.51
0.044,0.9956,0.55
0.044,0.9982,0.47
0.034,0.99485,0.6
0.037,0.9971,0.53
0.039,0.99265,0.41
0.03,0.9904,0.38
0.051,0.9965,0.44
0.058,0.9946,0.44
0.047,0.99965,0.43
0.039,0.9935,0.36
0.048,0.996,0.52
0.034,0.9942,0.46
0.043,0.9936,0.38
0.035,0.9965,0.49
0.028,0.9928,0.55
0.042,0.9928,0.36
0.035,0.9965,0.49
0.043,0.9936,0.38
0.042,0.9938,0.38
0.041,0.9926,0.54
0.039,0.9926,0.54
0.05,0.9983,0.42
0.05,0.9983,0.42
0.037,0.992,0.57
0.05,0.9983,0.42
0.023,0.9923,0.51
0.034,0.9972,0.43
0.035,0.9928,0.36
0.041,0.9928,0.37
0.039,0.9994,0.42
0.028,0.991,0.7
0.019,0.9906,0.51
0.017,0.9894,0.36
0.02,0.9898,0.47
0.039,0.9994,0.42
0.028,0.991,0.7
0.046,0.9925,0.9
0.054,0.9956,0.49
0.058,0.9946,0.45
0.05,0.9966,0.49
0.037,0.9951,0.62
0.15,0.9927,0.47
0.152,0.9927,0.46
0.037,0.9951,0.62
0.027,0.9894,0.45
0.026,0.9907,0.45
0.043,0.9925,0.52
0.05,0.9928,0.52
0.054,0.9941,0.48
0.053,0.9941,0.45
0.043,0.9925,0.52
0.036,0.9935,0.38
0.04,0.9932,0.39
0.046,0.9944,0.62
0.049,0.9972,0.39
0.046,0.994,0.47
0.04,0.9956,0.55
0.046,0.9927,0.45
0.046,0.9924,0.63
0.062,0.9966,0.47
0.056,0.9997,0.5
0.046,0.9936,0.54
0.05,0.9936,0.45
0.045,0.9952,0.46
0.045,0.9952,0.45
0.063,0.9928,0.48
