chlorides,density,sulphates
0.038,0.9911,0.55
0.044,0.993,0.64
0.038,0.9911,0.55
0.052,0.9932,0.43
0.059,0.993,0.55
0.055,0.993,0.39
0.043,0.9932,0.75
0.048,0.9932,0.66
0.057,0.9943,0.41
0.048,0.9968,0.5
0.064,0.9994,0.43
0.036,0.9926,0.29
0.071,0.9968,0.88
0.043,0.9932,0.75
0.045,0.9916,0.31
0.049,0.9946,0.62
0.041,0.9925,0.49
0.041,0.9925,0.49
0.019,0.9935,0.37
0.06,0.9962,0.38
0.088,0.9928,0.7
0.039,0.993,0.51
0.042,0.993,0.51
0.04,0.9956,0.3
0.052,0.9941,0.59
0.05,0.9972,0.57
0.054,0.9948,0.62
0.047,0.9955,0.62
0.055,0.9972,0.64
0.055,0.9972,0.64
0.244,0.9983,0.74
0.04,0.9942,0.67
0.06,0.9936,0.88
0.044,0.9956,0.56
0.034,0.9953,0.52
0.035,0.9918,0.74
0.047,0.995,0.71
0.039,0.992,0.56
0.043,0.9952,0.45
0.048,1.001,0.4
0.049,0.9924,0.48
0.05,0.9932,0.45
0.046,0.9937,0.45
0.029,0.9918,0.43
0.038,0.9934,0.43
0.035,0.991,0.62
0.048,0.9962,0.54
0.137,0.9932,0.39
0.035,0.9908,0.39
0.05,0.9962,0.69
0.029,0.9918,0.43
0.049,0.9941,0.44
0.06,0.9931,0.47
0.093,0.9981,0.47
0.06,0.9931,0.47
0.077,0.9944,0.54
0.054,0.992,0.72
0.07,0.9966,0.55
0.079,0.9956,0.68
0.073,0.9956,0.67
0.072,0.9949,0.7
0.054,1.0002,0.5
0.048,0.9942,0.45
0.037,0.9923,0.49
0.024,0.9917,0.4
0.031,0.9931,0.56
0.04,0.992,0.55
0.054,1.0002,0.5
0.036,0.9953,0.4
0.048,0.9951,0.47
0.049,0.9974,0.5
0.033,0.9904,0.54
0.048,0.9974,0.59
0.037,0.9944,0.65
0.051,1.0004,0.42
0.046,0.9952,0.53
0.059,0.9956,0.39
0.038,0.995,0.38
0.038,0.995,0.38
0.048,0.9995,0.42
0.035,0.9942,0.33
0.041,0.9977,0.45
0.027,0.992,0.49
0.037,0.992,0.42
0.048,0.9995,0.42
0.034,0.9934,0.39
0.049,1.0006,0.51
0.048,0.9982,0.47
0.069,0.9928,0.43
0.038,0.9945,0.32
0.045,0.9963,0.32
0.033,0.9906,0.38
0.04,0.9956,0.37
0.035,0.9942,0.33
0.039,0.9962,0.34
0.025,0.9894,0.79
0.038,0.995,0.38
0.028,0.9908,0.43
0.033,0.9914,0.53
0.036,0.9938,0.42
0.041,0.9977,0.45
0.028,0.9922,0.49
0.027,0.992,0.49
0.029,0.9903,0.59
0.024,0.9893,0.51
0.054,0.9952,0.46
0.029,0.9903,0.59
0.04,0.9912,0.61
0.053,0.9983,0.44
0.047,0.9937,0.44
0.047,0.9932,0.32
0.047,0.9928,0.39
0.04,0.9922,0.52
0.037,0.9976,0.64
0.04,0.9922,0.52
0.042,0.9974,0.33
0.051,0.998,0.45
0.047,0.9931,0.48
0.04,0.9911,0.4
0.042,0.9944,0.46
0.044,0.9937,0.49
0.047,0.9974,0.46
0.038,0.989,0.25
0.042,0.992,0.32
0.047,0.9928,0.46
0.031,0.9918,0.32
0.048,0.9936,0.43
0.047,0.9944,0.52
0.043,0.9988,0.54
0.053,0.994,0.43
0.042,0.9953,0.42
0.048,0.9986,0.47
0.027,0.9914,0.4
0.031,0.9934,0.4
0.058,0.996,0.58
0.034,0.9937,0.34
0.076,0.9921,0.46
0.052,0.998,0.61
0.058,0.996,0.58
0.048,0.9933,0.45
0.047,0.9933,0.44
0.041,0.9959,0.41
0.031,0.9936,0.41
0.041,0.9953,0.49
0.025,0.9938,0.49
0.038,0.9952,0.35
0.042,0.9959,0.4
0.041,0.9959,0.41
0.042,0.9937,0.38
0.035,0.992,0.35
0.037,0.9967,0.44
0.034,0.9944,0.48
0.054,0.9998,0.38
0.054,0.9998,0.38
0.201,0.9942,0.38
0.054,0.9998,0.38
0.055,0.9945,0.8
0.054,0.9998,0.38
0.043,0.9946,0.6
0.201,0.9942,0.38
0.057,0.9928,0.38
0.03,0.9946,0.41
0.039,0.9927,0.32
0.044,0.9938,0.62
0.037,0.9918,0.37
0.055,0.9945,0.8
0.062,0.9966,0.5
0.03,0.9954,0.34
0.036,0.9913,0.7
0.045,0.9931,0.55
0.036,0.9986,0.5
0.042,0.9965,0.44
0.039,0.9984,0.5
0.042,0.9952,0.54
0.036,0.9956,0.39
0.044,0.9949,0.36
0.03,0.9954,0.34
0.029,0.996,0.36
0.045,0.9931,0.55
0.025,0.992,0.47
0.033,0.9912,0.44
0.065,0.9978,0.51
0.048,0.9938,0.43
0.026,0.9914,0.4
0.037,0.9932,0.33
0.068,0.9944,0.45
0.036,0.9913,0.7
0.024,0.9948,0.72
0.074,0.998,0.42
0.042,0.9998,0.41
0.025,0.9964,0.6
0.038,0.9992,0.46
0.024,0.9948,0.72
0.042,0.9998,0.41
0.074,0.998,0.42
0.02,0.9939,0.48
0.027,0.992,0.45
0.028,0.9922,0.46
0.046,0.9955,0.37
0.049,0.9917,0.44
0.049,0.9917,0.44
0.047,0.9954,0.46
0.037,0.9986,0.35
0.046,0.9955,0.37
0.031,0.9917,0.49
0.03,0.9907,0.47
0.042,0.9922,0.25
0.064,0.9958,0.3
0.04,0.993,0.52
0.049,0.9917,0.44
0.033,0.9926,0.47
0.045,0.9959,0.43
0.034,0.9906,0.32
0.301,0.9993,0.48
0.027,0.993,0.34
0.034,0.9906,0.32
0.044,0.992,0.44
0.034,0.992,0.58
0.038,0.994,0.67
0.045,0.9959,0.43
0.033,0.9908,0.54
0.023,0.9902,0.53
0.033,0.9908,0.54
0.039,0.9943,0.42
0.047,0.9921,0.28
0.033,0.9911,0.32
0.043,0.9986,0.41
0.03,0.992,0.54
0.033,0.992,0.54
0.037,0.9943,0.44
0.043,0.9937,0.5
0.036,0.993,0.48
0.023,0.9902,0.53
0.024,0.9928,0.51
0.041,0.9896,0.43
0.042,0.998,0.59
0.041,0.9954,0.43
0.036,0.9938,0.41
0.033,0.9918,0.39
0.041,0.9896,0.43
0.037,0.9944,0.32
0.042,0.9999,0.68
0.055,0.9953,0.4
0.046,0.992,0.4
0.045,0.9925,0.4
0.051,0.9981,0.51
0.034,0.9952,0.51
0.049,0.9927,0.42
0.047,0.9927,0.42
0.037,0.9911,0.39
0.138,0.9936,0.3
0.057,0.9959,0.57
0.046,0.9946,0.62
0.036,0.9948,0.35
0.034,0.9955,0.39
0.036,0.9951,0.36
0.037,0.9952,0.34
0.05,0.9946,0.64
0.046,0.9946,0.62
0.039,0.9944,0.46
0.036,0.9938,0.39
0.059,0.9963,0.62
0.028,0.991,0.41
0.044,1.0003,0.69
0.04,0.9966,0.35
0.048,0.9993,0.58
0.044,1.0003,0.69
0.037,0.9938,0.42
0.169,0.9965,0.48
0.037,0.9938,0.42
0.048,0.9993,0.58
0.064,0.9938,0.46
0.044,1.0003,0.69
0.04,0.9966,0.35
0.083,0.9942,0.37
0.025,0.9928,0.62
0.026,0.991,0.78
0.028,0.9911,0.48
0.039,0.9977,0.43
0.026,0.9927,0.25
0.028,0.9911,0.48
0.026,0.991,0.78
0.05,0.9912,0.44
0.032,0.9907,0.6
0.029,0.9902,0.51
0.034,0.992,0.44
0.033,0.994,0.42
0.038,0.9966,0.56
0.037,0.993,0.54
0.03,0.993,0.87
0.031,0.993,0.86
0.038,0.9966,0.56
0.045,0.9942,0.44
0.045,0.9925,0.37
0.04,0.9925,0.47
0.042,0.9928,0.4
0.045,0.995,0.35
0.032,0.9939,0.27
0.067,0.9958,0.33
0.035,0.9952,0.3
0.038,1,0.75
0.05,0.9948,0.49
0.047,0.99,0.49
0.049,0.9958,0.62
0.046,0.9948,0.45
0.049,0.9949,0.61
0.041,0.997,0.39
0.039,0.9927,0.5
0.04,0.9938,0.43
0.046,0.9949,0.48
0.04,0.9953,0.46
0.044,0.997,0.46
0.026,0.9932,0.39
0.039,0.9927,0.62
0.044,0.9932,0.51
0.038,0.9955,0.42
0.044,0.9914,0.74
0.028,0.991,0.43
0.037,0.992,0.56
0.093,0.9924,0.66
0.043,0.9927,0.62
0.04,0.9911,0.52
0.042,0.9958,0.36
0.047,0.9928,0.44
0.028,0.9902,0.38
0.052,0.994,0.46
0.05,0.994,0.45
0.058,0.9972,0.4
0.05,1.0004,0.51
0.034,0.991,0.75
0.048,0.9918,0.34
0.047,0.995,0.72
0.042,0.9941,0.37
0.048,0.9956,0.52
0.048,0.9956,0.52
0.033,0.9959,0.39
0.04,0.9922,0.33
0.029,0.9931,0.33
0.033,0.9959,0.39
0.059,0.9984,0.47
0.041,0.9908,0.4
0.043,0.991,0.48
0.039,0.9928,0.35
0.039,0.9936,0.34
0.042,0.9941,0.37
0.042,0.9924,0.28
0.034,0.9917,0.67
0.027,0.9906,0.39
0.047,0.995,0.72
0.048,0.9956,0.52
0.04,0.9955,0.41
0.04,0.9907,0.42
0.05,1,0.59
0.039,0.9953,0.44
0.048,0.9911,0.46
0.04,0.9922,0.54
0.044,0.9951,0.37
0.038,0.9948,0.43
0.04,0.9906,0.48
0.051,0.994,0.38
0.04,0.9907,0.42
0.046,0.9927,0.33
0.037,0.9914,0.43
0.058,0.9958,0.45
0.05,1,0.59
0.168,0.9984,0.49
0.052,0.9941,0.4
0.042,0.9944,0.38
0.044,0.998,0.68
0.044,0.998,0.68
0.032,0.9902,0.38
0.032,0.9911,0.41
0.047,0.9929,0.69
0.05,0.993,0.71
0.047,0.9918,0.38
0.054,0.992,0.42
0.044,0.9932,0.35
0.039,0.992,0.61
0.045,0.994,0.35
0.046,0.9923,0.33
0.047,0.993,0.7
0.042,0.9956,0.64
0.039,0.9907,0.9
0.034,0.99,0.51
0.044,0.9918,0.48
0.037,0.9926,0.34
0.034,0.995,0.42
0.029,0.99,0.42
0.034,0.99,0.51
0.042,0.9946,0.42
0.039,0.9907,0.9
0.039,0.9898,0.46
0.044,0.9918,0.48
0.05,0.9986,0.46
0.05,0.9986,0.46
0.035,0.9928,0.46
0.05,0.9986,0.46
0.052,0.9979,0.52
0.044,0.994,0.5
0.044,0.9937,0.64
0.043,0.9938,0.38
0.069,0.9942,0.35
0.034,0.9944,0.38
0.033,0.993,0.78
0.05,0.9986,0.46
0.04,0.9932,0.41
0.037,0.9934,0.4
0.035,0.9928,0.46
0.035,0.9925,0.79
0.042,0.9944,0.41
0.037,0.9909,0.38
0.038,0.9932,0.36
0.045,0.9934,0.6
0.057,1.0001,0.63
0.044,0.992,0.55
0.04,0.9916,0.4
0.042,0.998,0.34
0.047,0.9919,0.37
0.051,0.9925,0.47
0.056,0.9977,0.43
0.042,0.9944,0.41
0.052,0.991,0.35
0.045,0.99,0.34
0.042,0.9917,0.55
0.033,0.9923,0.68
0.051,0.9928,0.46
0.048,0.9923,0.31
0.051,0.9928,0.46
0.03,0.9902,0.49
0.031,0.9893,0.33
0.042,0.9917,0.55
0.053,0.9982,0.5
0.051,1.0005,0.7
0.033,0.9923,0.68
0.05,0.9951,0.34
0.052,0.9956,0.47
0.05,0.998,0.44
0.057,0.9928,0.35
0.061,0.9938,0.34
0.04,0.9914,0.4
0.033,0.9955,0.35
0.044,0.9924,0.42
0.063,0.9911,0.42
0.055,0.9917,0.47
0.055,0.9917,0.47
0.036,0.9932,0.27
0.033,0.9955,0.35
0.048,0.9929,0.42
0.033,0.9955,0.35
0.034,0.9958,0.38
0.054,1.0012,0.54
0.069,0.9968,0.81
0.063,0.9911,0.42
0.044,0.9924,0.42
0.044,0.991,0.41
0.048,0.9946,0.42
0.05,0.9928,0.4
0.048,0.9946,0.44
0.055,0.9917,0.47
0.051,0.9918,0.46
0.031,0.9926,0.27
0.044,0.9931,0.53
0.036,0.9932,0.27
0.03,0.9903,0.39
0.046,0.9928,0.39
0.048,0.9929,0.42
0.034,0.9958,0.38
0.033,0.9955,0.35
0.052,0.9911,0.28
0.038,0.9938,0.48
0.057,0.9942,0.48
0.05,0.9945,0.44
0.028,0.9962,0.36
0.04,0.992,0.29
0.044,0.9927,0.28
0.056,0.9948,0.49
0.05,0.9945,0.44
0.048,0.9942,0.6
0.046,0.9952,0.81
0.057,0.9942,0.48
0.053,0.9958,0.5
0.034,0.9918,0.39
0.033,0.9932,0.7
0.054,1.0004,0.45
0.044,0.9972,0.54
0.037,0.9998,0.41
0.03,0.9918,0.45
0.031,0.9918,0.62
0.046,0.9964,0.48
0.033,0.9936,0.38
0.033,0.9931,0.38
0.03,0.9938,0.38
0.039,0.9934,0.32
0.044,0.99,0.48
0.041,0.9914,0.42
0.043,0.9904,0.6
0.03,0.994,0.32
0.04,0.9938,0.37
0.034,0.9933,0.36
0.039,0.9909,0.34
0.045,0.9942,0.38
0.041,0.9945,0.49
0.051,0.9954,0.52
0.044,0.996,0.64
0.06,0.9991,0.44
0.053,0.993,0.47
0.061,0.9942,0.48
0.042,0.9934,0.51
0.034,0.9939,0.32
0.031,0.9937,0.28
0.03,0.994,0.32
0.039,0.9926,0.77
0.037,0.9951,0.33
0.038,0.9952,0.33
0.035,0.9935,0.34
0.04,0.9938,0.37
0.038,0.9939,0.37
0.034,0.9933,0.36
0.041,0.9927,0.63
0.044,0.998,0.49
0.042,0.9997,0.39
0.037,0.9981,0.44
0.037,0.992,0.54
0.045,0.9954,0.55
0.037,0.992,0.54
0.042,0.9997,0.39
0.037,0.9981,0.44
0.037,0.9943,0.3
0.049,0.9941,0.3
0.028,0.9936,0.54
0.044,0.9996,0.67
0.031,0.9932,0.4
0.028,0.9926,0.32
0.04,0.9936,0.41
0.034,0.992,0.42
0.028,0.9936,0.54
0.044,0.9996,0.67
0.029,0.993,0.32
0.037,0.9924,0.57
0.038,0.9928,0.72
0.028,0.9926,0.32
0.049,0.9952,0.47
0.034,0.9945,0.45
0.034,0.9945,0.45
0.025,0.9903,0.59
0.031,0.9932,0.4
0.051,0.9953,0.48
0.122,0.9936,0.31
0.038,0.9912,0.44
0.057,0.9962,0.63
0.056,0.9965,0.6
0.032,0.9932,0.57
0.036,0.9967,0.58
0.051,0.9953,0.48
0.045,0.9963,0.57
0.036,0.992,0.33
0.033,0.991,0.52
0.059,0.9958,0.46
0.027,0.99,0.33
0.033,0.991,0.52
0.059,0.9958,0.46
0.044,0.9938,0.51
0.046,0.9996,0.41
0.055,0.9946,0.44
0.055,0.9974,0.58
0.038,0.9945,0.46
0.041,0.9946,0.45
0.055,0.9974,0.58
0.063,0.9957,0.5
0.045,0.9931,0.35
0.048,0.9947,0.34
0.053,0.9953,0.76
0.05,0.9931,0.44
0.05,0.9946,0.58
0.046,0.9978,0.68
0.062,0.9989,0.53
0.046,1.0004,0.45
0.039,0.9938,0.32
0.039,0.9934,0.33
0.046,0.9978,0.68
0.045,0.9956,0.42
0.039,0.9982,0.4
0.042,0.9948,0.46
0.045,0.9956,0.42
0.039,0.9982,0.4
0.036,0.9926,0.48
0.028,0.991,0.82
0.042,0.9945,0.44
0.047,0.9916,0.41
0.043,0.9953,0.59
0.047,0.9938,0.4
0.046,0.9956,0.43
0.034,0.9906,0.3
0.046,0.9956,0.43
0.172,0.9932,0.39
0.167,0.9914,0.5
0.047,0.9938,0.4
0.046,0.996,0.52
0.034,0.9906,0.36
0.034,0.98815,0.5
0.048,0.9942,0.35
0.032,0.9903,0.42
0.031,0.9906,0.46
0.04,0.9935,0.38
0.057,1.0024,0.47
0.048,0.9968,0.46
0.031,0.9906,0.46
0.04,0.9941,0.34
0.027,0.9919,0.32
0.035,0.9928,0.4
0.035,0.9958,0.34
0.047,0.9932,0.47
0.045,0.9957,0.4
0.065,0.9937,0.52
0.045,0.9982,0.48
0.029,0.9928,0.36
0.027,0.9919,0.32
0.05,0.9956,0.34
0.045,0.9957,0.37
0.053,0.9954,0.36
0.039,0.993,0.51
0.037,0.9954,0.53
0.048,0.9987,0.44
0.05,0.9956,0.34
0.057,0.9928,0.35
0.047,0.9951,0.31
0.053,0.993,0.7
0.057,0.9928,0.35
0.041,0.9926,0.58
0.037,0.9938,0.38
0.048,1.0001,0.52
0.035,0.9933,0.45
0.043,0.9952,0.33
0.042,0.9934,0.48
0.239,0.9988,0.51
0.042,0.993,0.39
0.043,0.9952,0.33
0.054,0.9948,0.52
0.058,0.9998,0.36
0.049,0.9971,0.57
0.058,0.9998,0.36
0.048,0.9962,0.59
0.054,0.9948,0.52
0.036,0.99,0.28
0.045,0.9942,0.59
0.058,0.9965,0.52
0.044,0.9912,0.67
0.076,0.9978,0.58
0.044,0.9928,0.36
0.053,1.0103,0.38
0.052,0.9956,0.38
0.046,0.9936,0.59
0.048,0.9929,0.48
0.06,0.9966,0.58
0.05,0.9964,0.45
0.049,0.996,0.4
0.049,0.9959,0.45
0.047,0.9954,0.4
0.047,0.9914,0.42
0.053,1.0103,0.38
0.059,1.0004,0.58
0.036,0.9911,0.51
0.04,0.9938,0.43
0.055,0.9927,0.51
0.033,0.9922,0.38
0.036,0.9924,0.44
0.046,0.9963,0.56
0.028,0.9936,0.42
0.138,0.9951,0.38
0.137,0.9951,0.38
0.046,0.9955,0.44
0.047,0.9961,0.47
0.028,0.9936,0.42
0.032,0.992,0.35
0.045,0.9944,0.45
0.034,0.9944,0.43
0.054,1.0008,0.55
0.046,0.9962,0.55
0.055,0.9986,0.38
0.055,0.9986,0.38
0.049,1,0.44
0.055,0.9986,0.38
0.047,0.9982,0.72
0.049,1,0.44
0.041,0.9949,0.63
0.034,0.9915,0.55
0.05,0.9951,0.45
0.055,0.9986,0.38
0.04,0.9927,0.49
0.048,0.9955,0.41
0.06,0.9952,0.42
0.036,0.9928,0.4
0.041,0.9982,0.31
0.038,0.9914,0.37
0.04,0.9927,0.49
0.043,0.9918,0.43
0.043,0.9944,0.61
0.033,0.9969,0.46
0.046,0.9955,0.35
0.058,0.9954,0.44
0.057,0.9955,0.45
0.035,0.9921,0.47
0.038,0.9934,0.55
0.056,0.9998,0.4
0.051,0.9946,0.6
0.055,0.9984,0.39
0.032,0.9924,0.47
0.037,0.9939,0.51
0.061,0.995,0.51
0.059,0.9957,0.49
0.123,0.9953,0.48
0.04,0.9912,0.59
0.046,0.9939,0.5
0.044,0.9921,0.43
0.05,0.9954,0.43
0.043,0.9933,0.31
0.044,0.9941,0.44
0.052,0.995,0.45
0.041,0.9977,0.38
0.04,0.9912,0.59
0.056,0.9945,0.42
0.064,0.9952,0.37
0.034,0.9924,0.44
0.045,0.9986,0.36
0.123,0.9953,0.48
0.036,0.9939,0.68
0.031,0.9929,0.3
0.055,0.9988,0.37
0.031,0.9906,0.32
0.041,0.9914,0.45
0.057,0.9978,0.38
0.042,0.9928,0.47
0.052,0.9948,0.42
0.057,0.9978,0.38
0.054,0.9946,0.44
0.032,0.9908,0.32
0.061,0.9954,0.45
0.038,0.9906,0.32
0.039,0.99705,0.35
0.042,0.9982,0.51
0.133,0.9932,0.3
0.053,0.9977,0.48
0.05,0.994,0.42
0.042,0.9982,0.51
0.044,0.9929,0.42
0.056,0.9924,0.43
0.045,0.9966,0.57
0.046,0.9921,0.51
0.045,0.9967,0.54
0.049,0.9934,0.54
0.042,0.9914,0.43
0.039,0.99705,0.35
0.053,0.9961,0.43
0.056,0.9967,0.44
0.038,0.9926,0.46
0.046,0.99605,0.44
0.042,0.99435,0.35
0.044,0.9948,0.51
0.037,0.9916,0.42
0.037,0.997,0.5
0.053,0.9961,0.43
0.056,0.9967,0.44
0.054,0.9961,0.45
0.051,0.9955,0.69
0.048,0.9922,0.38
0.046,0.9918,0.56
0.059,0.9955,0.42
0.041,0.9941,0.72
0.059,0.9955,0.43
0.059,0.9955,0.42
0.054,0.9924,0.4
0.03,0.9973,0.4
0.069,0.999,0.47
0.041,0.9941,0.72
0.034,0.9922,0.69
0.034,0.9922,0.69
0.052,0.9953,0.38
0.051,0.9945,0.44
0.034,0.9945,0.37
0.067,0.9957,0.57
0.038,0.9932,0.46
0.034,0.9945,0.37
0.04,0.9913,0.52
0.033,0.9909,0.43
0.035,0.9939,0.34
0.026,0.991,0.74
0.042,0.9954,0.46
0.054,0.9943,0.5
0.056,0.993,0.53
0.062,1.0002,0.64
0.064,0.9946,0.54
0.061,0.9953,0.47
0.037,0.9918,0.62
0.039,0.9936,0.34
0.073,0.9984,0.41
0.04,0.9956,0.58
0.049,0.9966,0.4
0.042,0.9942,0.32
0.073,0.9984,0.41
0.04,0.9956,0.58
0.049,0.9966,0.4
0.065,0.9974,0.39
0.046,0.9944,0.41
0.053,1.0008,0.79
0.065,0.9974,0.39
0.053,1.0008,0.79
0.049,0.9928,0.41
0.046,0.9944,0.41
0.042,0.9908,0.37
0.038,0.9917,0.43
0.03,0.9911,0.32
0.038,0.9912,0.53
0.029,0.9953,0.5
0.034,0.9932,0.34
0.032,0.9896,0.44
0.032,0.9889,0.41
0.038,0.9912,0.53
0.035,0.9926,0.38
0.03,0.9911,0.32
0.054,0.9964,0.54
0.033,0.9974,0.32
0.034,0.9944,0.6
0.033,0.9974,0.32
0.054,0.9964,0.54
0.051,0.9963,0.54
0.031,0.9948,0.43
0.031,0.9948,0.43
0.03,0.9953,0.51
0.031,0.9948,0.43
0.03,0.9953,0.51
0.044,0.9949,0.41
0.211,0.9988,0.56
0.123,0.9954,0.54
0.037,0.992,0.64
0.052,0.9984,0.55
0.123,0.9954,0.54
0.054,0.9926,0.51
0.037,0.992,0.64
0.039,0.9976,0.52
0.059,0.9972,0.77
0.029,0.991,0.62
0.049,0.998,0.44
0.041,0.9966,0.38
0.049,0.998,0.44
0.052,1.0007,0.82
0.042,0.992,0.42
0.046,0.9925,0.42
0.029,0.991,0.62
0.049,0.9934,0.67
0.058,0.9955,0.59
0.048,0.9944,0.55
0.053,0.9981,0.45
0.056,0.9968,0.46
0.056,0.9946,0.47
0.056,0.9946,0.47
0.053,0.9981,0.45
0.046,0.9946,0.66
0.054,0.997,0.46
0.054,0.9924,0.92
0.049,0.9958,0.39
0.042,0.994,0.61
0.255,0.9958,0.43
0.05,0.9984,0.5
0.031,0.9948,0.37
0.031,0.9932,0.38
0.035,0.9952,0.37
0.049,0.9924,0.5
0.048,0.9945,0.49
0.047,0.9976,0.46
0.047,0.9976,0.46
0.034,0.9938,0.31
0.058,0.9997,0.6
0.053,0.994,0.49
0.032,0.9921,0.37
0.043,0.9986,0.57
0.043,0.9987,0.36
0.045,0.9991,0.63
0.043,0.9987,0.36
0.045,0.9991,0.63
0.045,0.9991,0.63
0.029,0.9948,0.39
0.043,0.9987,0.36
0.036,0.993,0.32
0.05,0.9988,0.43
0.049,1,0.42
0.036,0.9932,0.76
0.045,0.9991,0.63
0.045,0.9989,0.64
0.046,1,0.41
0.046,1,0.41
0.056,0.9952,0.44
0.039,0.9969,0.49
0.037,0.9966,0.41
0.037,0.9966,0.41
0.053,0.9976,0.64
0.03,0.99,0.62
0.033,0.9988,0.43
0.039,0.9942,0.34
0.04,0.9984,0.49
0.04,0.9932,0.55
0.039,0.9969,0.49
0.037,0.9966,0.41
0.037,0.9933,0.69
0.029,0.9916,0.59
0.038,0.9914,0.59
0.062,0.9966,0.39
0.045,0.9958,0.42
0.041,0.9926,0.74
0.036,0.9939,0.46
0.049,0.9953,0.5
0.033,0.9906,0.37
0.038,0.9914,0.59
0.045,0.9958,0.42
0.041,0.9926,0.74
0.044,0.9991,0.58
0.049,0.9994,0.66
0.052,0.9976,0.49
0.062,0.9966,0.39
0.055,0.9953,0.41
0.028,0.9923,0.48
0.032,0.993,0.4
0.204,0.9931,0.43
0.208,0.9932,0.43
0.052,0.9926,0.41
0.047,0.9938,0.39
0.036,0.9966,0.4
0.043,0.9974,0.41
0.047,0.9924,0.37
0.042,0.9948,0.34
0.083,0.9964,0.35
0.04,0.9924,0.66
0.036,0.9966,0.4
0.043,0.9974,0.41
0.08,0.9938,0.39
0.031,0.9928,0.34
0.052,0.9959,0.38
0.052,1.0001,0.64
0.052,0.9959,0.38
0.052,1.0001,0.64
0.041,0.9968,0.52
0.051,0.9932,0.4
0.049,0.9954,0.58
0.066,0.9992,0.43
0.051,0.9932,0.4
0.046,0.9939,0.57
0.054,0.9952,0.44
0.036,0.9996,0.46
0.046,0.9966,0.49
0.028,0.9925,0.34
0.044,0.996,0.74
0.036,0.9996,0.46
0.063,0.9973,0.57
0.027,0.9937,0.4
0.058,0.9966,0.38
0.056,1.0017,0.58
0.024,0.993,0.37
0.024,0.993,0.37
0.039,0.9959,0.64
0.041,0.9958,0.57
0.056,1.0017,0.58
0.046,0.9958,0.46
0.076,0.9979,0.38
0.047,0.9941,0.35
0.044,0.997,0.56
0.047,0.9934,0.53
0.03,0.9927,0.79
0.036,0.9944,0.47
0.03,0.9927,0.79
0.086,0.9963,0.42
0.084,1.0011,0.39
0.084,1.0011,0.39
0.048,0.9959,0.43
0.057,0.9973,0.55
0.048,0.9966,0.5
0.044,0.9932,0.54
0.042,0.9984,0.46
0.056,0.999,0.46
0.056,0.999,0.46
0.056,0.999,0.46
0.056,0.999,0.46
0.056,0.999,0.46
0.049,1.0006,0.62
0.047,0.9937,0.53
0.043,0.9954,0.55
0.043,0.997,0.53
0.034,0.9912,0.31
0.054,0.9939,0.52
0.056,0.999,0.46
0.057,0.9957,0.44
0.053,0.9926,0.45
0.043,0.9994,0.67
0.055,1.0004,0.82
0.043,0.9994,0.67
0.055,1.0004,0.82
0.055,1.0004,0.82
0.055,1.0002,0.46
0.04,0.9922,0.46
0.038,0.9922,0.46
0.047,0.9934,0.69
0.053,0.9926,0.45
0.043,0.9941,0.68
0.043,0.9994,0.67
0.055,1.0004,0.82
0.038,0.9924,0.58
0.043,0.9948,0.47
0.034,0.9935,0.41
0.035,0.9918,0.53
0.043,0.9948,0.47
