chlorides,density,sulphates
0.064,0.9924,0.45
0.046,0.9979,0.67
0.026,0.993,0.36
0.028,0.994,0.66
0.023,0.991,0.38
0.026,0.993,0.36
0.049,0.9922,0.46
0.046,0.9979,0.67
0.05,0.9937,0.7
0.051,0.9928,0.42
0.04,0.9965,0.53
0.051,0.9928,0.42
0.168,0.9991,0.64
0.16,0.9948,0.42
0.179,0.9925,0.54
0.046,0.9958,0.45
0.037,0.9962,0.45
0.04,0.9965,0.53
0.034,0.9951,0.52
0.042,0.9944,0.47
0.024,0.9916,0.54
0.049,0.9987,0.4
0.038,0.9928,0.48
0.018,0.9926,0.35
0.046,0.9934,0.41
0.042,0.9944,0.47
0.029,0.9949,0.44
0.042,0.9926,0.38
0.032,0.997,0.59
0.029,0.9949,0.44
0.028,0.9948,0.45
0.03,0.992,0.53
0.034,0.9964,0.63
0.042,0.9926,0.38
0.046,0.9982,0.47
0.052,0.9955,0.41
0.05,0.9955,0.42
0.031,0.9958,0.57
0.034,0.9997,0.55
0.042,1.0001,0.36
0.042,1.0001,0.36
0.026,0.9918,0.38
0.026,0.9918,0.38
0.029,0.9931,0.26
0.042,1.0001,0.36
0.031,0.9926,0.82
0.044,0.9966,0.47
0.04,0.9932,0.47
0.04,0.9969,0.56
0.036,0.9925,0.4
0.047,0.9914,0.48
0.049,0.996,0.46
0.042,0.9952,0.75
0.05,0.9934,0.44
0.051,0.9939,0.39
0.051,0.9939,0.39
0.029,0.9906,0.37
0.03,0.9901,0.34
0.057,0.9948,0.51
0.04,0.995,0.68
0.043,0.9953,0.76
0.045,0.9953,0.79
0.042,0.9952,0.75
0.049,0.996,0.46
0.039,0.9948,0.67
0.055,0.9951,0.54
0.042,0.9931,0.72
0.044,0.9962,0.41
0.039,0.9948,0.67
0.046,0.9959,0.33
0.036,0.9962,0.34
0.029,0.9958,0.42
0.053,0.9948,0.76
0.053,0.9948,0.76
0.05,0.994,0.58
0.049,0.9942,0.58
0.046,0.9942,0.38
0.053,0.9948,0.76
0.044,0.9964,0.44
0.045,0.9958,0.38
0.043,0.9932,0.38
0.052,0.9986,0.35
0.052,0.9986,0.35
0.048,0.9988,0.46
0.05,0.9953,0.4
0.046,0.9983,0.4
0.056,1,0.35
0.043,0.9951,0.46
0.046,0.9983,0.4
0.042,0.9906,0.56
0.047,0.9981,0.49
0.056,0.9936,0.45
0.043,0.9951,0.46
0.05,0.9953,0.4
0.057,1.0005,0.66
0.048,0.9972,0.48
0.056,1,0.35
0.038,0.9969,0.55
0.05,1.0001,0.37
0.05,1.0001,0.37
0.05,1.0001,0.37
0.05,0.9934,0.62
0.038,0.9969,0.55
0.05,1.0001,0.37
0.034,0.9902,0.37
0.04,0.993,0.56
0.041,0.9914,0.42
0.033,0.9941,0.39
0.076,0.9967,0.38
0.035,0.9918,0.58
0.051,0.998,0.38
0.076,0.9967,0.38
0.035,0.9918,0.58
0.048,0.9957,0.46
0.056,0.9986,0.55
0.062,0.9958,0.7
0.054,0.9948,0.5
0.036,0.9918,0.72
0.04,0.9923,0.38
0.056,0.9998,0.38
0.056,0.9998,0.38
0.03,0.9914,0.68
0.041,0.9939,0.52
0.054,0.9966,0.55
0.058,0.995,0.52
0.054,0.9966,0.55
0.06,0.994,0.31
0.056,0.9972,0.39
0.056,0.9998,0.5
0.056,0.9998,0.5
0.047,0.9982,0.46
0.037,0.9924,0.74
0.053,0.9972,0.48
0.054,0.997,0.42
0.056,0.9954,0.4
0.04,0.9962,0.54
0.056,0.9972,0.39
0.038,0.9921,0.46
0.035,0.9905,0.43
0.056,0.9998,0.5
0.052,0.993,0.41
0.054,0.9941,0.45
0.052,0.9994,0.59
0.035,0.9962,0.46
0.038,0.992,0.31
0.031,0.9922,0.33
0.048,0.994,0.66
0.031,0.9897,0.34
0.04,0.9954,0.48
0.03,0.99,0.46
0.087,0.9948,0.44
0.031,0.9922,0.33
0.028,0.998,0.35
0.069,0.9944,0.47
0.069,0.9944,0.47
0.053,0.9986,0.49
0.053,0.9986,0.49
0.053,0.9986,0.49
0.053,0.9986,0.49
0.053,0.9986,0.49
0.042,0.996,0.37
0.05,0.9999,0.54
0.053,0.9986,0.49
0.053,0.9986,0.49
0.042,0.996,0.37
0.06,0.9951,0.44
0.05,0.9999,0.54
0.047,0.993,0.55
0.053,0.9982,0.46
0.044,0.992,0.4
0.041,0.9963,0.47
0.04,0.995,0.47
0.041,0.9956,0.47
0.051,0.997,0.44
0.217,0.9936,0.53
0.056,0.9935,0.42
0.052,0.9963,0.49
0.048,0.9967,0.54
0.044,0.9912,0.51
0.037,0.9981,0.32
0.058,0.9966,0.51
0.048,0.9967,0.54
0.052,0.9963,0.49
0.056,0.9935,0.42
0.037,0.9902,0.38
0.036,0.99,0.37
0.051,0.996,0.52
0.049,0.9966,0.52
0.069,0.9962,0.53
0.051,0.994,0.67
0.051,0.996,0.52
0.058,0.994,0.55
0.059,0.9944,0.56
0.056,0.9974,0.6
0.035,0.996,0.37
0.045,0.9922,0.64
0.031,0.9917,0.49
0.039,0.9918,0.64
0.058,0.9936,0.5
0.056,0.9938,0.78
0.039,0.9918,0.64
0.047,0.9939,0.65
0.031,0.9917,0.49
0.041,0.9981,0.4
0.051,0.9941,0.62
0.051,0.9928,0.38
0.041,0.9952,0.6
0.027,0.9898,0.36
0.045,0.9914,0.44
0.041,0.9981,0.4
0.051,0.9957,0.47
0.056,0.998,0.42
0.051,0.9957,0.47
0.067,0.9986,0.44
0.046,0.9983,0.46
0.046,0.9982,0.46
0.042,0.997,0.59
0.034,0.9947,0.36
0.042,0.997,0.59
0.034,0.9947,0.36
0.054,0.99416,0.45
0.049,0.99516,0.51
0.067,0.99496,0.79
0.048,0.9974,0.46
0.04,0.99579,0.5
0.06,0.9983,0.45
0.046,0.99471,0.44
0.048,0.9974,0.46
0.042,0.99644,0.49
0.04,0.99579,0.5
0.094,0.99699,0.54
0.047,0.99758,0.74
0.043,0.9977,0.51
0.031,0.99397,0.38
0.06,0.9983,0.45
0.046,0.99471,0.44
0.047,0.99243,0.45
0.048,0.9962,0.47
0.06,1.00182,0.61
0.042,0.99384,0.6
0.046,0.99582,0.52
0.048,0.9962,0.47
0.049,0.9924,0.43
0.046,0.99466,0.46
0.039,0.99212,0.68
0.157,0.99449,0.53
0.049,0.99748,0.45
0.157,0.99449,0.53
0.049,0.99748,0.45
0.061,0.99475,0.45
0.032,0.99189,0.44
0.056,0.99827,0.48
0.045,0.99752,0.77
0.056,0.99827,0.48
0.027,0.99479,0.43
0.045,0.99752,0.77
0.034,0.99642,0.4
0.055,1.00047,0.67
0.051,0.99382,0.66
0.06,0.99784,0.46
0.035,0.99486,0.42
0.053,0.99537,0.47
0.051,0.99382,0.66
0.067,0.99838,0.49
0.043,0.99566,0.44
0.033,0.99268,0.39
0.043,0.99566,0.44
0.148,0.99468,0.56
0.047,0.9933,0.54
0.046,0.99307,0.55
0.049,0.99907,0.68
0.049,0.99907,0.68
0.049,0.99907,0.68
0.049,0.99907,0.68
0.158,0.99471,0.49
0.157,0.99471,0.49
0.049,0.99907,0.68
0.037,0.99148,0.58
0.047,0.99383,0.64
0.047,0.99365,0.56
0.054,0.99272,0.46
0.037,0.99148,0.58
0.031,0.99235,0.58
0.041,0.99508,0.37
0.04,0.9946,0.57
0.042,0.99674,0.53
0.027,0.99018,0.54
0.031,0.99235,0.58
0.043,0.99084,0.44
0.058,0.99856,0.45
0.055,0.99591,0.43
0.051,0.9975,0.48
0.06,0.9944,0.4
0.04,0.99173,0.42
0.049,0.99378,0.68
0.053,0.99805,0.44
0.045,0.99534,0.49
0.035,0.99232,0.5
0.053,0.99805,0.44
0.036,0.99078,0.41
0.045,0.99534,0.49
0.029,0.99061,0.63
0.032,0.99182,0.38
0.061,0.9966,0.58
0.038,0.9912,0.39
0.045,0.99779,0.44
0.046,0.99814,0.46
0.035,0.99096,0.48
0.037,0.99379,0.67
0.053,0.99426,0.55
0.036,0.99228,0.61
0.041,0.99335,0.66
0.045,0.99595,0.48
0.049,0.99297,0.36
0.038,0.99687,0.29
0.049,0.99297,0.36
0.038,0.99687,0.29
0.054,0.99445,0.53
0.05,0.9986,0.59
0.032,0.99154,0.42
0.049,0.9981,0.59
0.024,0.98993,0.6
0.058,1.00241,0.43
0.048,0.99716,0.51
0.041,0.99437,0.67
0.067,0.9972,0.57
0.051,0.99756,0.62
0.041,0.99509,0.55
0.06,0.99572,0.59
0.051,0.99756,0.62
0.034,0.99175,0.59
0.032,0.99254,0.52
0.041,0.99509,0.55
0.043,0.99676,0.49
0.039,0.9979,0.44
0.031,0.99194,0.54
0.029,0.99077,0.77
0.168,0.99782,0.62
0.048,0.99942,0.59
0.04,0.99708,0.57
0.06,0.99353,0.46
0.044,0.99256,0.48
0.046,0.99199,0.48
0.024,0.9918,0.45
0.051,0.99354,0.5
0.028,0.99244,0.37
0.04,0.99831,0.66
0.157,0.99396,0.36
0.05,0.99724,0.49
0.05,0.99524,0.58
0.035,0.9927,0.5
0.053,0.99802,0.42
0.06,0.99512,0.51
0.092,0.99438,0.44
0.05,0.99679,0.52
0.05,0.99652,0.49
0.037,0.99698,0.37
0.03,0.99474,0.46
0.039,0.99511,0.49
0.099,0.99582,0.43
0.036,0.99125,0.4
0.034,0.99256,0.54
0.039,0.9911,0.41
0.036,0.99168,0.43
0.039,0.9911,0.41
0.05,0.99556,0.46
0.063,1.00098,0.51
0.084,0.99516,0.63
0.085,0.99516,0.64
0.042,0.99518,0.59
0.029,0.99347,0.46
0.025,0.9929,0.53
0.029,0.99347,0.46
0.042,0.99841,0.41
0.053,0.99362,0.54
0.053,0.99361,0.54
0.041,0.9914,0.45
0.042,0.99114,0.51
0.042,0.9925,0.5
0.043,0.99453,0.7
0.091,0.9938,0.49
0.093,0.9938,0.49
0.056,0.99806,0.49
0.059,0.9961,0.59
0.047,1.00016,0.66
0.037,0.9916,0.41
0.024,0.99116,0.49
0.046,0.99319,0.57
0.047,0.99517,0.66
0.044,0.99514,0.53
0.038,0.99566,0.56
0.034,0.99166,0.98
0.046,0.99587,0.67
0.044,0.99558,0.49
0.033,0.99117,0.52
0.036,0.99399,0.54
0.044,0.99741,0.5
0.034,0.99405,0.64
0.047,0.99622,0.58
0.045,1.00051,0.5
0.08,0.99803,0.66
0.034,0.99405,0.64
0.095,0.99773,0.71
0.05,0.99397,0.5
0.047,0.99622,0.58
0.044,0.99713,0.46
0.032,0.99274,0.42
0.07,1.00118,0.53
0.031,0.99176,0.46
0.045,0.9969,0.55
0.096,0.99771,0.72
0.036,0.99411,0.68
0.096,0.99771,0.72
0.036,0.99411,0.68
0.04,0.99194,0.48
0.04,0.99558,0.55
0.04,0.99194,0.48
0.04,0.99558,0.55
0.042,0.99577,0.46
0.045,0.99564,0.42
0.044,0.99578,0.47
0.054,0.99888,0.5
0.045,1.00014,0.56
0.034,0.99441,0.5
0.056,0.99594,0.43
0.05,0.99437,0.5
0.056,0.99594,0.43
0.042,0.9979,0.75
0.147,0.99434,0.47
0.028,0.99203,1.06
0.063,0.998,0.45
0.052,0.99316,0.6
0.063,0.998,0.45
0.051,0.99314,0.61
0.052,0.99316,0.6
0.042,0.99612,0.64
0.04,0.99295,0.62
0.043,0.99394,0.63
0.037,0.99642,0.52
0.037,0.99642,0.52
0.027,0.99248,0.54
0.027,0.99268,0.56
0.036,0.99954,0.67
0.031,0.99692,0.58
0.037,0.99592,0.54
0.037,0.99592,0.54
0.031,0.99692,0.58
0.045,0.99822,0.52
0.045,0.99822,0.52
0.053,0.99402,0.49
0.053,0.99404,0.48
0.039,0.99787,0.58
0.053,0.99347,0.46
0.041,0.99838,0.44
0.04,0.99839,0.44
0.038,0.99375,0.62
0.029,0.99155,0.51
0.049,0.9936,0.41
0.056,0.99434,0.51
0.022,0.9922,0.5
0.032,0.99571,0.4
0.043,0.99658,0.54
0.035,0.99076,0.44
0.071,0.99496,0.53
0.142,0.9937,0.49
0.035,0.99076,0.44
0.047,0.99542,0.48
0.052,0.99825,0.49
0.049,0.99289,0.61
0.041,0.99432,0.5
0.047,0.99523,0.48
0.047,0.99542,0.48
0.05,0.9959,0.49
0.045,0.99543,0.55
0.079,0.99662,0.45
0.034,0.99088,0.51
0.034,0.99088,0.51
0.074,0.99922,0.44
0.036,0.9966,0.76
0.075,0.99466,0.43
0.074,0.99922,0.44
0.054,0.99836,0.5
0.054,0.99836,0.5
0.043,0.99238,0.48
0.031,0.99645,0.4
0.046,1,0.48
0.046,1,0.48
0.039,0.99376,0.49
0.046,1,0.48
0.039,0.99513,0.52
0.045,0.99556,0.47
0.045,0.99556,0.47
0.054,0.99543,0.43
0.053,0.99886,0.63
0.044,0.99526,0.48
0.032,0.99166,0.47
0.045,0.99691,0.43
0.053,0.99732,0.68
0.045,0.99573,0.46
0.058,0.99656,0.6
0.043,0.99112,0.48
0.032,0.99214,0.52
0.029,0.99165,0.49
0.018,0.99004,0.52
0.038,0.99463,0.64
0.034,0.99683,0.56
0.018,0.99004,0.52
0.04,0.99596,0.5
0.054,0.99898,0.49
0.029,0.99114,0.6
0.121,0.99508,0.38
0.053,0.99306,0.41
0.054,0.99898,0.49
0.121,0.99508,0.38
0.029,0.99114,0.6
0.036,0.99342,0.51
0.037,0.99345,0.5
0.044,0.99772,0.47
0.036,0.99239,0.59
0.049,0.99502,0.38
0.049,0.99502,0.38
0.046,0.99479,0.34
0.043,0.99207,0.46
0.029,0.99497,0.5
0.046,0.99828,0.42
0.032,0.99542,0.44
0.032,0.99542,0.44
0.028,0.99228,0.5
0.03,0.99706,0.47
0.029,0.99497,0.5
0.029,0.99669,0.48
0.046,0.99828,0.42
0.036,0.99269,0.48
0.041,0.99196,0.53
0.046,0.99662,0.54
0.052,0.99475,0.48
0.045,0.99544,0.53
0.052,0.99944,0.62
0.052,0.99475,0.48
0.045,0.99544,0.53
0.046,0.9966,0.46
0.043,0.99066,0.72
0.043,0.9907,0.73
0.043,0.99066,0.72
0.033,0.998,0.53
0.043,0.9907,0.73
0.043,0.99066,0.72
0.079,0.99307,0.42
0.03,0.99106,0.42
0.052,0.99696,0.46
0.03,0.99106,0.42
0.079,0.99307,0.42
0.037,0.99167,0.45
0.048,0.99902,0.45
0.021,0.98992,0.46
0.028,0.99182,0.46
0.043,0.99556,0.49
0.034,0.99582,0.59
0.028,0.99182,0.46
0.032,0.98972,0.36
0.026,0.99352,0.45
0.035,0.9946,0.49
0.043,0.99273,0.52
0.038,0.99628,0.44
0.039,0.99582,0.5
0.037,0.99553,0.5
0.014,0.98914,0.56
0.156,0.99354,0.37
0.053,0.99976,0.5
0.062,0.99808,0.52
0.062,0.99808,0.52
0.062,0.99808,0.52
0.062,0.99808,0.52
0.062,0.99808,0.52
0.062,0.99808,0.52
0.039,0.9919,0.43
0.062,0.99808,0.52
0.068,0.99499,0.48
0.05,0.99655,0.42
0.059,0.99615,0.64
0.038,0.99296,0.55
0.048,0.99482,0.38
0.028,0.99079,0.88
0.042,0.99366,0.39
0.046,0.99434,0.64
0.023,0.98958,0.7
0.046,0.99434,0.64
0.034,0.99938,0.6
0.042,0.99059,0.74
0.031,0.99835,0.61
0.023,0.98958,0.7
0.025,0.99159,0.63
0.025,0.99159,0.63
0.019,0.98931,0.36
0.028,0.9938,0.49
0.024,0.99558,0.46
0.024,0.99563,0.46
0.019,0.98931,0.36
0.053,0.99691,0.67
0.038,0.9959,0.5
0.025,0.99159,0.63
0.05,0.99628,0.4
0.021,0.99076,0.47
0.039,0.99678,0.72
0.039,0.99678,0.72
0.039,0.99678,0.72
0.026,0.99089,0.38
0.063,0.99537,0.47
0.041,1.0002,0.38
0.05,0.99628,0.4
0.026,0.99089,0.38
0.039,0.99678,0.72
0.021,0.99076,0.47
0.033,0.99332,0.42
0.033,0.99316,0.51
0.029,0.99272,0.41
0.03,0.99636,0.46
0.044,0.99202,0.43
0.027,0.99148,0.36
0.012,0.99064,0.39
0.065,0.99884,0.45
0.034,0.99773,0.44
0.044,1.00013,0.88
0.062,0.98974,0.47
0.034,0.99773,0.44
0.044,1.00013,0.88
0.023,0.99112,0.53
0.034,0.99136,0.55
0.028,0.99132,0.61
0.042,0.99642,0.37
0.066,0.99488,0.8
0.047,0.99527,0.47
0.119,0.99578,0.44
0.048,0.99352,0.44
0.046,0.99199,0.68
0.037,0.99198,0.51
0.057,0.99756,0.54
0.119,0.99578,0.44
0.066,0.99561,0.53
0.069,0.99347,0.4
0.018,0.98936,0.34
0.042,0.99786,0.46
0.081,0.99705,0.57
0.034,0.9942,0.69
0.039,0.9948,0.78
0.05,0.99116,0.69
0.052,0.99688,0.7
0.033,0.98974,0.41
0.067,0.99542,0.48
0.041,0.99154,0.56
0.043,0.99118,0.65
0.033,0.99044,0.39
0.03,0.9914,0.45
0.05,0.9979,0.49
0.03,0.98892,0.41
0.039,0.99114,0.45
0.039,0.99188,1
0.046,0.99583,0.49
0.03,0.98892,0.41
0.03,0.98892,0.41
0.049,0.99704,0.36
0.037,0.9911,0.36
0.032,0.99334,0.66
0.033,0.99334,0.66
0.031,0.99094,0.68
0.03,0.99014,0.31
0.042,0.99304,0.4
0.041,0.99652,0.42
0.029,0.98944,0.33
0.061,0.99772,0.59
0.03,0.99367,0.44
0.042,0.99304,0.4
0.026,0.99183,0.48
0.029,0.99126,0.37
0.029,0.98944,0.33
0.042,0.99577,0.46
0.061,0.99772,0.59
0.041,0.99652,0.42
0.041,0.99428,0.5
0.03,0.99388,0.36
0.024,0.99208,0.54
0.036,0.99256,0.54
0.03,0.99388,0.36
0.025,0.9925,0.38
0.048,0.99904,0.49
0.043,0.99216,0.5
0.024,0.99208,0.54
0.041,0.99428,0.5
0.027,0.99165,0.6
0.038,0.99924,0.41
0.038,0.99924,0.41
0.038,0.99924,0.41
0.17,0.9956,0.38
0.171,0.99562,0.38
0.045,0.9972,0.63
0.038,0.99924,0.41
0.044,0.9958,0.48
0.044,0.99976,0.75
0.044,0.99976,0.75
0.049,0.99296,0.43
0.045,0.9957,0.46
0.044,0.9958,0.48
0.043,0.99579,0.5
0.04,0.99541,0.6
0.044,0.99976,0.75
0.046,0.99518,0.4
0.028,0.99168,0.54
0.029,0.99276,0.38
0.027,0.99085,0.38
0.043,0.99873,0.8
0.03,0.99172,0.62
0.038,0.99312,0.56
0.029,0.99276,0.38
0.045,0.9972,0.42
0.036,0.99278,0.5
0.041,0.99092,0.46
0.051,0.9962,0.51
0.035,0.99053,0.69
0.06,0.99858,0.51
0.051,0.9984,0.53
0.049,0.99335,0.51
0.035,0.99053,0.69
0.048,0.9949,0.49
0.051,0.9962,0.51
0.041,0.99092,0.46
0.047,0.99532,0.47
0.067,0.99727,0.34
0.034,0.99026,0.47
0.048,0.99668,0.42
0.067,0.99727,0.34
0.048,0.9952,0.72
0.034,0.99144,0.4
0.034,0.99144,0.4
0.032,0.99015,0.53
0.045,0.9914,0.45
0.057,0.99693,0.55
0.045,0.99035,0.9
0.057,0.99693,0.55
0.045,0.99035,0.9
0.036,0.99006,0.66
0.025,0.99126,0.46
0.026,0.98994,0.4
0.027,0.98985,0.32
0.082,0.9971,0.48
0.059,0.99882,0.52
0.038,0.99477,0.46
0.039,0.99478,0.47
0.055,0.99576,0.54
0.054,0.99578,0.54
0.06,0.99354,0.51
0.05,0.99244,0.42
0.048,0.99084,0.34
0.05,0.99612,0.37
0.028,0.99356,0.37
0.034,0.98952,0.59
0.05,0.99612,0.37
0.048,0.99084,0.34
0.05,0.99244,0.42
0.048,0.99955,0.54
0.052,0.99374,0.66
0.026,0.9892,0.37
0.035,0.99144,0.6
0.045,0.99352,0.33
0.045,0.99352,0.33
0.045,0.9935,0.33
0.043,0.99237,0.54
0.035,0.99144,0.6
0.025,0.99022,0.45
0.036,0.99032,0.44
0.074,1.03898,0.69
0.053,0.99587,0.59
0.053,0.99587,0.59
0.053,0.99587,0.59
0.083,0.99976,0.5
0.034,0.99354,0.41
0.083,0.99976,0.5
0.066,0.99552,0.54
0.065,0.99552,0.53
0.053,0.99587,0.59
0.047,0.99604,0.49
0.046,0.99584,0.51
0.033,0.98894,0.53
0.053,0.9963,0.4
0.028,0.993,0.55
0.033,0.98894,0.53
0.053,0.9963,0.4
0.036,0.99068,0.45
0.036,0.98964,0.51
0.047,0.99604,0.49
0.046,0.99584,0.51
0.038,0.9923,0.39
0.031,0.99437,0.38
0.028,0.993,0.55
0.04,0.99238,0.44
0.038,0.99801,0.46
0.039,0.99802,0.46
0.042,0.99566,0.5
0.049,0.99067,0.73
0.025,0.99066,0.47
0.03,0.9929,0.66
0.026,0.9934,0.58
0.049,0.99067,0.73
0.032,0.98912,0.38
0.038,0.99066,0.39
0.052,0.99228,0.49
0.032,0.98912,0.38
0.052,0.9958,0.34
0.042,0.99052,0.42
0.152,0.99312,0.38
0.056,0.9968,0.6
0.044,0.99502,0.44
0.04,0.99084,0.48
0.047,0.99573,0.53
0.048,0.99256,0.5
0.053,0.9959,0.48
0.034,0.99084,0.35
0.034,0.99084,0.35
0.044,0.99644,0.37
0.05,0.99526,0.4
0.064,0.9954,0.44
0.031,0.99095,0.58
0.048,0.99188,0.37
0.041,0.9909,0.38
0.048,0.99256,0.5
0.053,0.9959,0.48
0.05,0.99581,0.5
0.033,0.99132,0.58
0.034,0.98936,0.36
0.036,0.99136,0.38
0.036,0.99142,0.39
0.047,0.99232,0.45
0.046,0.99232,0.47
0.049,0.993,0.42
0.028,0.99311,0.56
0.033,0.99132,0.58
0.035,0.98993,0.42
0.033,0.99208,0.42
0.169,0.99776,0.64
0.053,0.99839,0.52
0.052,0.99574,0.56
0.041,0.99093,0.43
0.028,0.99156,0.59
0.047,0.99278,0.4
0.027,0.9924,0.43
0.034,0.98984,0.6
0.027,0.99035,0.6
0.027,0.9924,0.43
0.034,0.99165,0.68
0.037,0.9923,0.52
0.047,0.99278,0.4
0.028,0.99008,0.52
0.036,0.98964,0.41
0.028,0.99156,0.59
0.032,0.9909,0.5
0.034,0.98984,0.6
0.021,0.9889,0.53
0.018,0.99178,0.28
0.028,0.99076,0.34
0.021,0.9889,0.53
0.037,0.99046,0.53
0.029,0.98999,0.89
0.045,0.98946,0.94
0.03,0.98976,0.99
0.037,0.99046,0.53
0.04,0.99672,0.38
0.045,0.99482,0.4
0.027,0.98945,0.42
0.029,0.98883,0.39
0.039,0.99362,0.49
0.033,0.99075,0.43
0.039,0.99436,0.39
0.047,0.98988,0.53
0.032,0.99158,0.64
0.033,0.99265,0.45
0.042,0.99195,0.41
0.032,0.99168,0.55
0.04,0.9918,0.37
0.032,0.99313,0.39
0.035,0.9895,0.34
0.041,0.9932,0.35
0.054,0.99848,0.5
0.038,0.9909,0.86
0.044,0.99014,0.5
0.054,0.9952,0.57
0.055,0.99652,0.54
0.054,0.99848,0.5
0.032,0.99104,0.38
0.05,0.99772,0.46
0.031,0.9922,0.58
0.028,0.99076,0.59
0.036,0.99622,0.5
0.035,0.9902,0.52
0.034,0.99114,0.58
0.073,0.9938,0.46
0.047,0.99594,0.45
0.035,0.9902,0.52
0.031,0.99035,0.52
0.031,0.99032,0.52
0.031,0.99558,0.48
0.036,0.99622,0.5
0.028,0.99076,0.59
0.046,0.99413,0.38
0.041,0.99043,0.54
0.041,0.99043,0.54
0.053,0.98982,0.39
0.033,0.98934,0.45
0.019,0.9902,0.52
0.038,0.99449,0.41
0.032,0.99629,0.46
0.054,0.9948,0.57
0.014,0.98984,0.32
0.029,0.99326,0.49
0.046,0.99834,0.5
0.038,0.99555,0.5
0.028,0.98975,0.84
0.036,0.99216,0.31
0.036,0.99216,0.31
0.046,0.99834,0.5
0.041,0.9901,0.95
0.028,0.98975,0.84
0.038,0.99573,0.5
0.029,0.99326,0.49
0.028,0.99215,0.4
0.023,0.98993,0.3
0.03,0.99218,0.41
0.038,0.99555,0.5
0.039,0.99564,0.38
0.039,0.99564,0.38
0.036,0.99397,0.4
0.022,0.99576,0.61
0.037,0.99601,0.47
0.039,0.99564,0.38
0.036,0.99397,0.4
0.016,0.98713,0.59
0.026,0.99308,0.37
0.026,0.99308,0.37
0.049,0.99582,0.45
0.078,0.99494,0.36
0.042,0.9929,0.55
0.044,0.99471,0.53
0.041,0.9929,0.54
0.042,0.9929,0.55
0.036,0.99037,0.6
0.042,0.99304,0.44
0.034,0.99026,0.55
0.031,0.98986,0.56
0.044,0.99471,0.53
0.016,0.98951,0.54
0.04,0.99634,0.59
0.03,0.99368,0.54
0.112,0.99792,0.48
0.021,0.99026,0.48
0.044,0.99362,0.6
0.021,0.98919,0.49
0.051,0.99835,0.54
0.051,0.99835,0.54
0.021,0.99038,0.32
0.025,0.99104,0.44
0.021,0.99038,0.32
0.05,0.99286,0.43
0.039,0.99296,0.46
0.051,0.99835,0.54
0.056,0.9954,0.52
0.045,0.9914,0.47
0.026,0.99286,0.35
0.044,0.99604,0.51
0.044,0.99604,0.51
0.034,0.99119,0.3
